model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
base,23,100,100,1565.8028598949786,9.541597247353373e-05,1565.802859894975,0.19299224037981985,0.5965,1765.658744633216,964.4708527406567,801.1878918925593,0.0002443123120000612,0.00016154745303664786,0.5,0.796,1476.5282674339924,10
base,24,100,100,3426.1187263753004,0.00015788902363655932,3426.118726375309,0.30083647452200546,0.6325,3302.3158579068345,1135.9678645722454,2166.347993334589,0.00031239292439300126,0.00016419109952803268,0.5349999999999999,0.917,3371.3932395628885,10
base,25,100,100,2741.101194902412,0.00014846511319543954,2741.101194902418,0.24160124339653863,0.6243,1916.8134837976918,1928.7298717058516,-11.916387908159777,0.0003021799082556509,0.00016414503160655514,0.5349999999999999,0.8879999999999999,2653.64869822164,10
base,26,100,100,2192.1669201832497,0.0001772701945113031,2192.166920183241,0.2221647298198613,0.6261,2144.4751381885076,1585.665439592144,558.8096985963637,0.000396370344779573,0.0002019591313403568,0.545,0.876,2046.9897152580209,10
base,27,100,100,2028.6084189575874,0.0002043699207499028,2028.608418957585,0.20117766383832905,0.6327,2205.3391792807847,1614.059432612918,591.2797466678667,0.00043919674182779644,0.00021097219238119802,0.505,0.8880000000000001,1833.947727085141,10
base,28,100,100,2025.1232901900814,0.00027463047191778056,2025.123290190073,0.2851134357648794,0.6825,2438.887324472081,1705.5738360994296,733.3134883726516,0.0005513798499087175,0.0002468002886675258,0.505,0.922,1758.1632780947773,10
base,29,100,100,2226.6902417655324,0.00033184135169617157,2226.690241765529,0.3610252034676386,0.7098,2753.073339197836,1868.119734430752,884.953604767084,0.0006415804606791919,0.00027979440752323725,0.5149999999999999,0.9350000000000002,1909.4689594615425,10
base,30,100,100,2289.307238304007,0.0003989654564877654,2289.307238303998,0.44948802215525613,0.7264,2892.5159698616226,2103.547347411022,788.9686224506004,0.0007472433074987572,0.0003136703642010463,0.6050000000000001,0.9560000000000001,1928.2588738758907,10
base,31,100,100,2229.1121991745767,0.0004034220494032459,2229.1121991745713,0.6619125628220256,0.7385,3983.969355595578,2854.879126605334,1129.0902289902438,0.0007206943292670243,0.0002862449951653856,0.7100000000000001,0.975,1654.9635746032814,10
base,32,100,100,2363.721980898806,0.00044653371101255335,2363.7219808988084,0.784743844505496,0.7463,4167.555971852067,3002.6760564828696,1164.8799153691975,0.000780347842849638,0.0003075235973960533,0.6649999999999999,0.977,1742.0017648315036,10
base,33,100,100,2488.122026642018,0.0004810486972324224,2488.122026642015,0.8898003361265938,0.7523,4348.393696270209,3136.64260864043,1211.7510876297792,0.0008262836325485523,0.00031199944150539505,0.655,0.9730000000000001,1782.1621423146876,10
base,34,100,100,2680.773122295504,0.000530399109137436,2680.7731222955013,1.9559379301169317,0.9174,4469.024748511879,3308.668591156682,1160.356157355197,0.0009178030082865885,0.00032975304644433656,0.705,1.0,1916.6813532009783,10
base,35,100,100,2852.1916958948173,0.00046026847389857295,2852.191695894817,0.8986119827433796,0.769,4332.255958238306,3547.2507176148383,785.0052406234681,0.0008334215667185063,0.00031431091474964923,0.585,0.9339999999999999,1978.0460580729941,10
base,36,100,100,3103.307371309236,0.0005177843607961918,3103.3073713092344,0.749789555351297,0.7476,4828.773970466273,4210.278719649963,618.4952508163096,0.0009183589055611341,0.0003425037914916995,0.5900000000000001,0.943,2194.190015278603,10
base,37,100,100,3491.971626060525,0.000476974103687855,3491.9716260605273,0.42937895211051685,0.6789,4868.569768269838,4615.598179776449,252.9715884933894,0.0008400432842804451,0.00032549139625193124,0.6,0.901,2585.156712301476,10
base,38,100,100,3908.4925882654666,0.00045602672240507847,3908.4925882654425,0.356188076080787,0.6612,4904.816914349556,5033.381268096139,-128.56435374658304,0.0007754404061115494,0.00029376609775566553,0.57,0.882,3014.501258822898,10
base,39,100,100,4437.806289900713,0.0004381304714037304,4437.80628990072,0.3293396638424211,0.6611,4805.4900154333545,5077.130603419966,-271.64058798661154,0.0007411858055581533,0.00028218956804682005,0.5549999999999999,0.8899999999999999,3593.621379156877,10
base,40,100,100,5114.673242437866,0.0004227213582733702,5114.6732424378715,0.32968079078680923,0.6617,4917.06509584949,5092.862892470859,-175.79779662136934,0.0007093891974182531,0.00026352250735683924,0.545,0.8880000000000001,4280.874960813325,10
base,41,100,100,5849.280602052742,0.00037824096129457363,5849.280602052735,0.38449086815902894,0.6562,5295.751197370064,5021.499667821313,274.251529548751,0.0006598775170097992,0.00024694540993630554,0.5599999999999999,0.8879999999999999,5054.925158166254,10
base,42,100,100,7128.969846582246,0.0003649625605119944,7128.9698465822585,0.35946225086451195,0.6605,5813.745325873488,5389.597669930995,424.14765594249275,0.0006267112975271161,0.00022840202753771077,0.5450000000000002,0.8860000000000001,6350.0338694471775,10
base,43,100,100,7433.10793383963,0.0003869313236113392,7433.107933839623,0.38317919037205844,0.6602,6323.268817811885,5337.545469492857,985.7233483190284,0.000673874462273627,0.0002438326727114415,0.56,0.892,6588.777455024943,10
base,44,100,100,7633.347834563411,0.00038035964018778845,7633.347834563407,0.34938893124489506,0.6674,6619.2620134953395,5705.198005481074,914.0640080142657,0.0006641469999729699,0.00023331995883746348,0.535,0.877,6653.006573903398,10
base,45,100,100,7558.870026193976,0.00040902551906873974,7558.870026193981,0.3811109125692709,0.6726,7073.555615131557,5831.400284514049,1242.1553306175074,0.0006898554850650607,0.00024343986651287342,0.52,0.883,6379.615727530169,10
base,46,100,100,7511.787032028385,0.0004303050755924964,7511.787032028398,0.46178467219950775,0.648,8064.454772443538,6443.258077873276,1621.1966945702616,0.0008330243243465096,0.00037022963225064043,0.5549999999999999,0.8620000000000001,6133.069495671951,10
base,47,100,100,7997.541067870333,0.00040583108012848257,7997.541067870276,0.5180635448874529,0.6551,8550.518082667619,6870.181856059693,1680.3362266079257,0.000772075293941854,0.00035654831253295605,0.5399999999999999,0.8539999999999999,6562.849443843925,10
