model_tag,condition,condition_family,layer,n_points,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,centroid_to_global_l2,centroid_to_global_cosdist,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace,centroid_to_question_only_l2,centroid_to_question_only_cosdist
base,target,target,18,100,31807.7194366156,3066.052554818479,0.09639334756232096,4548.1869413323475,0.001990937164563861,0.9990124229379255,0.0003797779038128008,0.0009875770620745294,606.5351071367093,2.2625897871608736e-05,1.2749866876061677,0.6325415597764192,0.13735465449268738,0.8844848063010418,15517916.801951747,597.6384107648962,0.0001759540738491827
base,target,target,19,100,36460.712989706204,3692.268796468507,0.10126704865894777,5574.071235063183,0.0018985863074800452,0.9990578687819334,0.0003488196434312509,0.000942131218066633,774.3195513495638,2.2879003039988355e-05,1.2053217583233227,0.5156088094679315,0.11196303038631389,0.9101767887552019,24946985.70142262,709.8684054770779,0.0001705203191736393
base,target,target,20,100,40008.35830545599,4436.601431342254,0.11089186408174186,6704.319691175751,0.001760430604364593,0.999126212974676,0.00031302475447206687,0.0008737870253240354,1161.3867878263436,2.2993322621900347e-05,1.1540110930919547,0.42065962115423855,0.0913450761133991,0.9304948645262753,35895749.94478693,1126.1801836092793,0.00018279696171030757
base,target,target,21,100,43239.46405242238,4524.923774281216,0.10464800786603919,6833.878943837902,0.0017523236563107543,0.9991304050904977,0.000313346833711881,0.0008695949095023359,1210.9655584884572,2.0938729958230873e-05,1.1761265376864178,0.4645669519108978,0.10087943184475813,0.9215853310328858,37320541.266549125,1157.2958445321606,0.0001673134968905865
base,target,target,22,100,48888.00289434863,6231.086076056757,0.1274563432162016,8765.830090490193,0.0017927588436614367,0.9991086116809264,0.00038625653422828175,0.0008913883190736493,1310.36744673121,2.0626407133406133e-05,1.1269104568362174,0.36384887703732116,0.07900877977200169,0.9417364682177225,61492795.223625734,1543.0157010951136,0.0001621724773741562
base,target,target,23,100,54817.446520445475,7733.122617980158,0.14107046403731893,10546.840020999185,0.0021392727053855904,0.9989352133630098,0.0004314278964448332,0.001064786636990167,1322.3818960994752,2.655464981160538e-05,1.1336767024508723,0.3744142662231949,0.08130302488329431,0.93885969639926,87130837.08443104,1765.658744633216,0.0002443123120000612
base,target,target,24,100,63125.855036007066,10973.620548792538,0.1738371787999255,14252.203902314568,0.0024205789048691055,0.9987890459840522,0.0005599812499548054,0.0012109540159478405,2329.9744687317466,4.0728230620179495e-05,1.093350195940104,0.29057776964965715,0.06309816096130015,0.9562225732283339,154485259.2636446,3302.3158579068345,0.00031239292439300126
base,target,target,25,100,67594.73359000283,11189.361437206919,0.16553599434352695,14507.473321634501,0.00269612572397261,0.9986508709669608,0.0006239536406392711,0.001349129033039187,2420.3641154877314,4.0430495803489563e-05,1.1110139476660124,0.3291950363722307,0.07148379388320003,0.9485181446080954,163091495.0608487,1916.8134837976918,0.0003021799082556509
base,target,target,26,100,68675.07668879881,10971.016136866827,0.15975251380616579,14356.249670876277,0.0032513937946689686,0.9983745405864526,0.0007298476821948796,0.0016254594135474143,2596.4105050304947,4.821664149823324e-05,1.1491035455531584,0.40765612903520904,0.08852140367701564,0.932480693357385,158146569.95831054,2144.4751381885076,0.000396370344779573
base,target,target,27,100,70825.18523204744,12949.93034464935,0.1828435789079967,17000.49957226838,0.004574455020875456,0.9977057380492076,0.001097081978707894,0.002294261950792409,2610.824485723495,5.731176075074451e-05,1.1602087414042146,0.4236382882316008,0.09199188545096176,0.9279167849335299,220660000.9455594,2205.3391792807847,0.00043919674182779644
base,target,target,28,100,72115.2714930567,12132.017130427677,0.1682309014339044,16000.755461591136,0.006102360661081358,0.9969494770943754,0.0013278894898782361,0.0030505229056245753,2559.9570491039412,7.961964295977175e-05,1.2994303704074623,0.6468105174296089,0.14045311927833312,0.8755267489055036,192285094.34302825,2438.887324472081,0.0005513798499087175
base,target,target,29,100,75782.2105273018,12666.344949750446,0.16714140246921388,16792.86148184443,0.007464493177689993,0.9962710704588456,0.001523516717028771,0.0037289295411544465,2548.8924096716564,9.508398309687749e-05,1.4121992163262664,0.7908483641535355,0.17173054028704696,0.8384805032850629,203053699.57823232,2753.073339197836,0.0006415804606791919
base,target,target,30,100,74770.6605918227,13231.023249125667,0.17695474594446312,17561.116940531196,0.009101814666664237,0.9954470934854751,0.002112670034130673,0.00455290651452489,2439.6205140813504,0.00011319709549761914,1.4426824262700122,0.829473555728001,0.18011789406867013,0.8293049643084082,218663457.54341036,2892.5159698616226,0.0007472433074987572
base,target,target,31,100,76016.04781502367,13807.219062083619,0.18163558168246133,18375.515077376283,0.009560455156652166,0.9952169780760678,0.002165731207043253,0.004783021923932207,1924.4325774295849,0.00011295272970857084,1.4502193694910221,0.8388629197475266,0.18215676855980056,0.8271788459031966,235095446.05824593,3983.969355595578,0.0007206943292670243
