condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
all,38.5,410.0,0.8921192702085288,23888.262403516026,7421.157370242729,0.005472561412886424,124457.35398616888,104314.65110960926,0.8479003711669916
control,38.5,100.0,0.9380396235690491,26806.57292905029,6543.281367244317,0.007293284632435373,125201.710334528,102691.39613650559,0.825902647459984
question_only,38.5,10.0,0.7633783459695417,33434.629508444916,11801.959225748382,0.0069691671085900025,128597.80534304123,98359.89771274698,0.7759594613623136
target,38.5,100.0,0.9200747732066069,22264.67977042743,6912.283386545545,0.0044401282244917895,127895.05709839478,109270.4309703939,0.8640274251610398
target_sentence_shuffle,38.5,100.0,0.9106466749679168,23187.282934913488,7044.353155949317,0.0046586312240912385,126255.03722669597,106512.20476349596,0.8543901794903073
target_word_shuffle,38.5,100.0,0.8822883650364145,22339.87726918001,6716.646532710373,0.005348541000956939,118063.56614936958,99380.04790772781,0.8544753235371028
