condition,condition_family,layer_base,n_points_base,centroid_norm_base,abs_disp_l2_mean_base,rel_disp_l2_mean_base,pairwise_l2_mean_base,pairwise_cosine_distance_mean_base,cos_to_centroid_mean_base,cos_to_centroid_std_base,angular_disp_to_centroid_base,centroid_to_global_l2_base,centroid_to_global_cosdist_base,effective_rank_pr_base,spectral_entropy_base,spectral_entropy_norm_base,top1_pc_variance_share_base,cov_trace_base,centroid_to_question_only_l2_base,centroid_to_question_only_cosdist_base,layer_instruct,n_points_instruct,centroid_norm_instruct,abs_disp_l2_mean_instruct,rel_disp_l2_mean_instruct,pairwise_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,cos_to_centroid_mean_instruct,cos_to_centroid_std_instruct,angular_disp_to_centroid_instruct,centroid_to_global_l2_instruct,centroid_to_global_cosdist_instruct,effective_rank_pr_instruct,spectral_entropy_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,cov_trace_instruct,centroid_to_question_only_l2_instruct,centroid_to_question_only_cosdist_instruct,layer_instruct_minus_base,layer_instruct_over_base,n_points_instruct_minus_base,n_points_instruct_over_base,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,abs_disp_l2_mean_instruct_minus_base,abs_disp_l2_mean_instruct_over_base,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_l2_mean_instruct_minus_base,pairwise_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,cos_to_centroid_mean_instruct_minus_base,cos_to_centroid_mean_instruct_over_base,cos_to_centroid_std_instruct_minus_base,cos_to_centroid_std_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,centroid_to_global_l2_instruct_minus_base,centroid_to_global_l2_instruct_over_base,centroid_to_global_cosdist_instruct_minus_base,centroid_to_global_cosdist_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_instruct_minus_base,spectral_entropy_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,cov_trace_instruct_minus_base,cov_trace_instruct_over_base,centroid_to_question_only_l2_instruct_minus_base,centroid_to_question_only_l2_instruct_over_base,centroid_to_question_only_cosdist_instruct_minus_base,centroid_to_question_only_cosdist_instruct_over_base
control,control,38.5,100.0,124106.9897579855,23146.024942138036,0.18757033279429278,30908.62782107233,0.01791066606284421,0.991041351535141,0.006391493567684076,0.008958648464859116,2656.049154594013,0.00015729096674018303,2.0232492618916336,1.1713425010783955,0.2543537923185505,0.6967075581882693,671645785.493965,4587.866507916545,0.00029409408892690074,38.5,100.0,101344.05676074814,20480.8858742226,0.19853895107137481,27894.979706032933,0.026725015237692835,0.9866175084070442,0.010252943797307642,0.013382491592955724,4381.012473532552,0.0007508519175004613,2.683813599616636,1.4906750516925338,0.323695974630456,0.5887850297360155,557027210.5352607,8193.52841005853,0.0023176578458997308,0.0,0.999999999999974,0.0,0.99999999999999,-22762.932997237367,0.816586212898837,-2665.1390679154356,0.8848554309183574,0.010968618277082037,1.058477362131957,-3013.6481150393956,0.9024981590096729,0.008814349174848624,1.4921284971998847,-0.004423843128096738,0.9955361669598957,0.0038614502296235665,1.604154598158907,0.004423843128096608,1.493806978134661,1724.9633189385386,1.6494470616083925,0.0005935609507602783,4.773649296511014,0.6605643377250026,1.3264868793803894,0.31933255061413823,1.2726209885826496,0.06934218231190553,1.2726209885787327,-0.10792252845225381,0.845096371950173,-114618574.95870435,0.8293466922085909,3605.6619021419856,1.7859125578131516,0.00202356375697283,7.880667872230284
question_only,question_only,38.5,10.0,127500.85859058368,24826.219943778782,0.19716132963208283,35453.92798506747,0.019481200227061932,0.9911246614000255,0.006523209779120029,0.008875338599974494,5761.039668924914,0.0004523648233166138,1.7910727654741965,0.9788883757237063,0.42512581997604265,0.7458288615324007,825350316.5025771,0.0,-3.0839528461809905e-17,38.5,10.0,97001.26391640327,19749.341585863287,0.20185140170712512,29679.108852914625,0.03011505830656094,0.9863035257647308,0.008774610546052535,0.013696474235269164,8059.390690749154,0.0013793931659552621,3.0799627999960717,1.507006856069199,0.6544847617812211,0.5451013926817297,549124337.5384232,0.0,6.1679056923619804e-18,0.0,0.999999999999974,0.0,0.9999999999999,-30499.594674180407,0.7607891036081784,-5076.878357915495,0.7955033682367858,0.004690072075042295,1.023787991705932,-5774.819132152847,0.8371176492888153,0.010633858079499008,1.5458523065319836,-0.004821135635294738,0.9951356919830048,0.002251400766932506,1.3451369558578077,0.00482113563529467,1.5432058258335426,2298.35102182424,1.3989472654079367,0.0009270283426386483,3.0492936050876795,1.2888900345218752,1.7196190235067945,0.5281184803454926,1.5395083785252914,0.2293589418051784,1.539508378523243,-0.20072746885067094,0.730866584541953,-276225978.9641539,0.6653227442443328,0.0,0.0,3.700743415417189e-17,6.168095913531461e-06
target,target,38.5,100.0,126770.0636043656,24827.819491349375,0.1960630388994813,32902.2693971335,0.018045643302665608,0.9909663372002474,0.0061406803072315205,0.00903366279975254,3950.7398456246174,0.00012320375120408424,1.9113865977812152,1.154994992413979,0.2508039759156396,0.7176853588273461,769277877.455956,5347.72151608287,0.0007627653703464188,38.5,100.0,107949.73209662443,21248.749727268863,0.19500353339288604,29208.85756084111,0.024505847064995537,0.9877384357224054,0.008551548148435272,0.012261564277594691,5746.612885704265,0.00034945279111554665,2.6360216402313608,1.5920294003736317,0.34570479180500546,0.6014327149456926,580324709.8538239,12583.605017050317,0.0017271761030004508,0.0,0.999999999999974,0.0,0.99999999999999,-18820.331507741168,0.8515396224263387,-3579.069764080512,0.8558443779032812,-0.0010595055065952541,0.9945960976962464,-3693.4118362923946,0.8877459851868403,0.0064602037623299295,1.3579924335541793,-0.003227901477842021,0.996742672926753,0.0024108678412037513,1.3926059848730452,0.0032279014778421513,1.3573192345161758,1795.8730400796476,1.4545662610684293,0.0002262490399114624,2.836381074958545,0.7246350424501455,1.3791148495495054,0.43703440795965265,1.3783864093166822,0.09490081588936589,1.37838640931238,-0.11625264388165346,0.8380172558174502,-188953167.60213208,0.7543759243057782,7235.883500967447,2.3530778443129603,0.000964410732654032,2.264360926547665
target_sentence_shuffle,target_shuffle,38.5,100.0,125158.1652418687,23794.973768338594,0.189814488037847,32125.323883699137,0.017654186417289105,0.9911733931356184,0.005960453692399041,0.008826606864381668,2603.845321475242,9.74505037896509e-05,2.0207047667257454,1.2403041278442875,0.26932861930229973,0.6956323863070294,722931190.4173838,6103.88076864144,0.0008195544941774521,38.5,100.0,105211.27075405876,20331.595341591597,0.1909735232062058,27974.26189611902,0.02453579662084989,0.9877329669007854,0.00849647227929168,0.01226703309921457,2956.4238525256897,0.0001565888072394365,2.9025361872856688,1.638339295393505,0.3557608577373304,0.5647972366791485,534580766.1355737,10064.510878115996,0.0015442948741681778,0.0,0.999999999999974,0.0,0.99999999999999,-19946.894487809943,0.840626502879277,-3463.3784267469964,0.8544491597063519,0.0011590351683588018,1.0061061470034973,-4151.061987580117,0.870785365383151,0.006881610203560786,1.3898004722229333,-0.003440426234832983,0.9965289360472586,0.0025360185868926388,1.4254740857564543,0.003440426234832903,1.3897790267884709,352.5785310504475,1.1354068646637923,5.913830344978559e-05,1.6068547574734164,0.8818314205599234,1.4363979513877057,0.39803516754921753,1.3209173932523326,0.08643223843503067,1.320917393248493,-0.1308351496278809,0.8119191225076942,-188350424.2818101,0.7394628606727203,3960.630109474556,1.6488708183525158,0.0007247403799907257,1.8843101749247353
target_word_shuffle,target_shuffle,38.5,100.0,117064.49828903936,20576.524104552707,0.17714915182067073,27877.885790037977,0.01705093686664356,0.9914870020159979,0.005912167977478166,0.008512997984002056,6686.721075100774,0.00016916710905078784,2.2469563199949647,1.3041520626286132,0.28319302218117537,0.6575285445668446,535970767.67479634,11307.073023248598,0.0005660273503315413,38.5,100.0,98104.9704780962,18357.430477492526,0.18495458834283326,25429.059149146142,0.025347925188229124,0.9873376005329857,0.008667876980730245,0.01266239946701435,5315.299826957209,0.00021536603292600221,3.4171442516824757,1.730549023745196,0.37578394583779906,0.5001727005565778,440534388.1698692,5964.846597493075,0.001666179234657635,0.0,0.999999999999974,0.0,0.99999999999999,-18959.527810943153,0.8380420359028838,-2219.0936270601815,0.8921541065058121,0.007805436522162534,1.0440613824051495,-2448.8266408918353,0.91215881077442,0.008296988321585562,1.486600143146985,-0.004149401483012238,0.9958149713757507,0.0027557090032520786,1.4661080355435734,0.004149401483012294,1.4874195306192464,-1371.4212481435652,0.7949037752972375,4.6198923875214376e-05,1.2730963652529408,1.170187931687511,1.520788019452293,0.42639696111658276,1.326953407761225,0.09259092365662369,1.326953407757557,-0.1573558440102668,0.7606859119482217,-95436379.50492716,0.8219373419954243,-5342.226425755523,0.5275323317739866,0.0011001518843260936,2.9436373184759717
