condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
target,8,100,0.9770794458763139,312.82099049245795,179.18498496544896,0.0031392336966519795,2172.396375031076,1909.61622548331,0.8883251590341058
target,9,100,0.9925313722252019,565.568185691488,198.95938467000514,0.001837862564965659,3279.520005290159,2744.5055366141464,0.8400361754689948
target,10,100,0.9780021588767502,595.1390469607084,337.3172037456359,0.0021539797869913877,3563.526682279672,3011.754424456178,0.8521316757471628
target,11,100,0.9726712271194503,953.1065514531688,387.40212109471474,0.0008151744682754347,6847.360130078017,5937.71914625626,0.8685818130262922
target,12,100,0.9599635152659663,1135.7857099297378,556.1330705213064,0.0010593723298275215,7316.656777783076,6228.450566107021,0.8574564645358208
target,13,100,0.9587744214537923,1368.6531076624315,384.7541560979475,0.0011809023474719626,8302.964683364424,6999.157106440561,0.8418663236791533
target,14,100,0.9677452112501381,2005.2073832815024,588.2408925471053,0.00047235424398076373,14705.825641618001,12746.887516492538,0.8685446530775954
target,15,100,0.9449094954232162,2414.6165108584373,777.1976146524104,0.0003773991978516944,19192.291023303587,16832.17893665013,0.8782679616431733
target,16,100,0.8500552960830579,2688.003792847353,884.2474696929585,0.00035346408926701154,23682.86193164964,21085.959085145194,0.891730373359124
target,17,100,0.840942301328267,3206.540228458619,1417.0666945653788,0.00039147279441697157,26587.53459069161,23548.45467120288,0.8902806848370345
target,18,100,0.6523740317101461,3621.4956556678326,1692.8140408418951,0.0004094349829001298,31838.58651572917,28649.42609523781,0.9057805610252427
target,19,100,0.705516014622453,2886.7549329596054,1810.5311672095943,0.0004037355834393608,36494.06455261451,34504.36422210406,0.9506460821983082
target,20,100,0.7509168023162907,3112.354779030042,1905.259361811549,0.0004249947480007854,40042.29086359554,38093.5936934029,0.9572634093499586
target,21,100,0.7473140548191821,2960.8408698728867,1702.273331408523,0.0004427117619782406,43276.099423765845,42062.990618505246,0.9776777480097177
target,22,100,0.8560620376803941,2868.0298603487213,1467.218733151831,0.0004764402388237099,48929.35500199877,48914.045182377056,1.0048651865922973
target,23,100,0.9049398297927014,3291.7562448874214,1486.8107582643727,0.0006031374420535451,54872.770724131355,53466.51902284649,0.9783025818507336
target,24,100,0.9338075864175025,5100.488236995609,2125.0934240570236,0.0007363244261470426,63196.22447277731,59595.663996105635,0.9499781114746613
target,25,100,0.9433563718107977,5871.921026981465,2566.510271794184,0.0008036683507477315,67678.77947065285,62954.13407083814,0.9360834605778181
target,26,100,0.9487491861952498,5041.790137841666,2294.0694202127775,0.0009146584023592763,68778.89291516622,65035.85970453092,0.9485128691305174
target,27,100,0.9581587194743981,5621.225605534626,2472.7860511436766,0.001151027845981696,70974.23947231047,66865.41717984305,0.9449528451829974
target,28,100,0.946614360887033,7124.1684803700855,2873.069012886462,0.001555536015446879,72322.21951534558,66556.15555313278,0.9222898443147719
target,29,100,0.9378947116165142,8723.917869316349,3246.4801693252252,0.0018972234104191632,76050.61743473158,68708.44206819368,0.9051110747093155
target,30,100,0.9393703934093516,8621.246728490009,3345.6180241515476,0.002271012807374395,75089.04403401351,68172.87469804627,0.9106015513581484
target,31,100,0.9246349773747177,10245.49498866367,4008.6279548117964,0.0025557316148850182,76356.90597649147,67697.07606845975,0.8900837579764932
target,32,100,0.9277866811243164,10681.65719557487,4110.969263966692,0.0029483845372949378,77437.45524118372,68574.05600968919,0.890336490206089
target,33,100,0.9266503649428336,10967.334279683708,4251.754946321899,0.0033177955872585674,79006.65881871896,70204.97482247514,0.8945363348478161
target,34,100,0.9241935867178798,11512.187413809328,4301.789278383552,0.003832148237641295,82668.47454954569,73828.76656029683,0.8988400564165907
target,35,100,0.9030222907120922,13726.159937481523,5259.841543100222,0.003716702712580162,92869.09712812737,81804.32481843664,0.886447359676406
target,36,100,0.904768883065786,14915.578935397409,5579.807391097947,0.0043908210632732265,94363.73421630221,82521.71036575506,0.8819743576879356
target,37,100,0.914422793410844,19416.02287111938,7145.646970361395,0.004599193523087424,104215.35995575055,87568.46000931214,0.8496508341319611
target,38,100,0.9138311978122726,21438.402406643414,7810.231492684796,0.004664036095775283,111488.2526309127,92889.52992244222,0.8426224298122625
target,39,100,0.9171931035261371,23291.557620905634,8307.253233742316,0.004770918177353405,119272.62160032726,98994.72537441157,0.8391744858330543
target,40,100,0.9232751793320868,25349.175545323164,8691.559200250873,0.004903830891177885,130376.9325058761,108246.75430656855,0.8379136591432805
target,41,100,0.9108397319283031,27171.750801901133,9001.820641252183,0.004482598888765815,146832.43694161298,123142.86087953564,0.8443971494550763
target,42,100,0.9140961409669768,32676.080480796052,10273.649787029393,0.004729895415378764,160868.07886881084,131564.26221104153,0.8230189889308405
target,43,100,0.9191721568507815,33485.48405972531,9640.56205647451,0.005272285205090591,166631.88878161245,137025.83335857757,0.826310758570126
target,44,100,0.9332250850258434,36173.36744511072,9303.18640646911,0.005701946149853534,178647.92852508585,146709.08212371092,0.8236157291166168
target,45,100,0.9415118977637442,36459.927597123096,8404.510507184448,0.0059537506207316335,190195.41028791826,158901.92541694,0.8368270869079114
target,46,100,0.9343296759008382,32481.804132518006,7078.45569512543,0.00607744100015265,198103.02953052378,172951.87547820777,0.8734633242136851
target,47,100,0.8890217778541207,32151.003427427317,7905.816565411695,0.005733815513177625,217687.71817829215,196068.66504318357,0.9026792986144224
target,48,100,0.9721423842301065,68.7521741711446,12.288840302538517,0.10422041153844885,149.06112433510796,145.9837456502503,0.9766472134427149
target_word_shuffle,0,100,0.9999061243924284,8.606240060749366,3.026016589957037,0.01169218714172597,59.824236241707574,59.59164820557363,0.9961123903049993
target_word_shuffle,1,100,0.9957237219541789,113.81499037977714,32.40300526431165,0.009414482174912992,897.1882725452779,855.9951728015491,0.9310584180049503
target_word_shuffle,2,100,0.9937662682072274,124.81111943723904,17.798131417448868,0.008933339962196338,881.1239011594896,864.3936643657602,0.9626200534426868
target_word_shuffle,3,100,0.9907719661810285,150.44760299867315,33.55508759565362,0.011990561425728241,913.8057036267211,814.2939986029585,0.887004965602187
target_word_shuffle,4,100,0.9940358034030203,157.60190128666133,25.926969468894168,0.014464823593457443,783.9177682739764,683.3348178939984,0.8732335718901874
