condition,condition_family,late_lo,late_hi,centroid_norm_base,centroid_norm_instruct,centroid_reduction_base_minus_instruct,abs_disp_reduction_base_minus_instruct,cov_trace_reduction_base_minus_instruct,entropy_reduction_base_minus_instruct,top1_prob_gain_instruct_minus_base,top5_mass_gain_instruct_minus_base,top1_per_rel_disp_base,top1_per_rel_disp_instruct,top1_per_rel_disp_instruct_over_base,inverse_entropy_per_rel_disp_base,inverse_entropy_per_rel_disp_instruct,inverse_entropy_per_rel_disp_instruct_over_base,top1_per_pairwise_cosdist_base,top1_per_pairwise_cosdist_instruct,top1_per_pairwise_cosdist_instruct_over_base,entropy_reduction_per_centroid_reduction,top1_gain_per_centroid_reduction,entropy_reduction_per_abs_disp_reduction,top1_gain_per_abs_disp_reduction
control,control,30,47,124106.9897579855,101344.05676074814,22762.932997237367,2665.1390679154356,114618574.95870435,1.6072112741871296,0.2605879078805447,0.2566452696919441,2.2232770240092803,3.4129762220969933,1.5351106430906074,1.9154200148900467,4.282390243001826,2.235744750346789,23.283378172706698,25.35484874818865,1.0889677846623258,7.060651078585477e-05,1.1447905588975334e-05,0.0006030496845495665,9.777647666407366e-05
question_only,question_only,30,47,127500.85859058368,97001.26391640327,30499.594674180407,5076.878357915495,276225978.96415377,2.0163794483793023,0.3977535039186477,0.31220301389694216,2.1231249105712338,4.044319867763057,1.9048902151842841,1.7320742885075162,5.432797230812001,3.136584421843803,21.48728648363101,27.107755393554452,1.261571832916355,6.61116801688607e-05,1.3041271799436996e-05,0.00039716914730397496,7.834607723041062e-05
target,target,30,47,126770.0636043656,107949.73209662443,18820.331507741168,3579.069764080512,188953167.60213208,1.0091364616888314,0.1843003798276186,0.16589464128017428,2.1927571459290607,3.1497840000086583,1.4364490868744488,1.8363466316982664,2.8999664460687984,1.5792042722268125,23.823956972166712,25.064181938910018,1.052057891482561,5.361948386901442e-05,9.792621333572805e-06,0.00028195495707194893,5.149393333353104e-05
target_sentence_shuffle,target_shuffle,30,47,125158.1652418687,105211.27075405876,19946.894487809943,3463.3784267469964,188350424.28181022,1.3608314858027006,0.21883701682090761,0.23107593387365344,2.2069512097774466,3.3394594188827544,1.5131550729741774,1.8292612948022673,3.446801885752773,1.8842589057915142,23.728723832701967,25.992566724472805,1.095405168340735,6.822272442631807e-05,1.0970981821488279e-05,0.00039292024091080086,6.318599640480288e-05
target_word_shuffle,target_shuffle,30,47,117064.49828903936,98104.9704780962,18959.527810943153,2219.0936270601815,95436379.50492704,1.6012940840235752,0.24258771426975728,0.25396794229745867,2.5775864734605984,3.780414306297076,1.4666488768542172,1.9962335942263094,4.4082197005378445,2.2082684678213487,26.77959933023088,27.584307850467418,1.0300493114296558,8.445854242737694e-05,1.2795029321866302e-05,0.00072159825277176,0.00010931837724717068
