condition,condition_family,layer,centroid_norm_base,abs_disp_l2_mean_base,rel_disp_l2_mean_base,pairwise_l2_mean_base,pairwise_cosine_distance_mean_base,cos_to_centroid_mean_base,cos_to_centroid_std_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_base,spectral_entropy_norm_base,top1_pc_variance_share_base,cov_trace_base,centroid_norm_instruct,abs_disp_l2_mean_instruct,rel_disp_l2_mean_instruct,pairwise_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,cos_to_centroid_mean_instruct,cos_to_centroid_std_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,cov_trace_instruct,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,abs_disp_l2_mean_instruct_minus_base,abs_disp_l2_mean_instruct_over_base,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_l2_mean_instruct_minus_base,pairwise_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,cos_to_centroid_mean_instruct_minus_base,cos_to_centroid_mean_instruct_over_base,cos_to_centroid_std_instruct_minus_base,cos_to_centroid_std_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_instruct_minus_base,spectral_entropy_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,cov_trace_instruct_minus_base,cov_trace_instruct_over_base
target,target,0,33.10863497389326,47.64500221765639,1.4390506360417417,59.545789678247665,0.7007105578539526,0.5534406448713828,0.35116718606662145,0.4465593551286172,3.666559421080564,1.4604499442481123,0.3171326759414334,0.4408295020844532,2507.835901396975,33.090804289724495,47.434391420151194,1.4334614234468546,59.22937131559537,0.701241628946479,0.5529574448224773,0.35398058424939194,0.44704255517752267,3.629517443501097,1.4552516258218668,0.31600387543758623,0.44551104998516183,2481.1808868180815,-0.01783068416876432,0.9994614491299981,-0.21061079750519696,0.995579582585723,-0.005589212594887094,0.996116041745927,-0.31641836265229273,0.9946861337407222,0.0005310710925263695,1.0007579036530463,-0.0004832000489054522,0.9991269162205879,0.002813398182770488,1.0080115634187665,0.0004832000489054522,1.0010820511144933,-0.037041977579467034,0.989897346987618,-0.005198318426245407,0.99644060486447,-0.0011288005038471716,0.9964406048620104,0.004681547900708627,1.010619860688909,-26.655014578893315,0.9893713083204343
target,target,1,774.0249013993924,508.39366207267545,0.6568182252967939,622.36095012038,0.32051174005621547,0.820997501679662,0.18076246486071357,0.179002498320338,1.7903726917000575,0.9261859287003937,0.2011187190255098,0.7323909854383167,274473.0378465361,737.7752590642463,525.9245799328423,0.7128520148532705,633.2840878491702,0.3535868252223957,0.7973476203467834,0.21097855295072493,0.20265237965321659,1.5553564520373993,0.773028603112053,0.16786102834247177,0.7934302220760011,289959.6068935339,-36.24964233514618,0.9531673434929421,17.53091786016688,1.0344829591082898,0.05603378955647664,1.0853109542294925,10.923137728790152,1.0175511296566346,0.03307508516618024,1.1031946135866222,-0.023649881332878597,0.9711937231410998,0.03021608809001136,1.1671590842276198,0.023649881332878597,1.132120398059603,-0.23501623966265828,0.868733342084007,-0.15315732558834072,0.834636522923553,-0.03325769068303802,0.8346365229203042,0.0610392366376844,1.0833424193500563,15486.569046997814,1.0564229155931035
target,target,2,762.3385864382316,479.61198164289823,0.6291325011944127,591.6766251531644,0.30759037764706976,0.8304952276982953,0.1622929543060285,0.1695047723017047,2.002681949663289,1.0328657726067143,0.22428395279491742,0.6846743814781304,246327.6706232976,752.9018910330196,494.87362687347996,0.6572883303487093,601.0092771058263,0.31494619219550746,0.823503086793698,0.175174129659764,0.176496913206302,1.7000612288703263,0.8744511617023503,0.18988465711060942,0.7547111360216685,257899.8507198983,-9.436695405211935,0.987621385598094,15.261645230581735,1.0318208172746275,0.028155829154296597,1.0447534169666928,9.332651952661877,1.01577323077491,0.0073558145484377,1.0239143194389972,-0.0069921409045973215,0.9915807572730219,0.012881175353735508,1.07936989875954,0.0069921409045973215,1.0412504073402171,-0.30262072079296254,0.8488922712641959,-0.15841461090436404,0.8466261395172299,-0.034399295684307996,0.8466261395142749,0.07003675454353808,1.1022920623833403,11572.1800966007,1.0469788069984949
target,target,3,773.2772899296717,492.6939075831874,0.6371503650753748,618.3023638836257,0.31680369470191677,0.8261720935352789,0.1487851293741974,0.17382790646472113,2.154618649418548,1.1242694375569517,0.24413200645172833,0.6567579518743348,260782.59907565676,668.9205010173398,462.3456671253324,0.691181786807498,577.9305784623353,0.3608950330180824,0.7981840972119183,0.1806630928840279,0.2018159027880817,2.046679395507424,1.0866947552444144,0.23597276785792698,0.679137022158067,229243.18129981362,-104.35678891233192,0.8650460963080606,-30.348240457855013,0.9384034590427082,0.054031421732123164,1.084801680565068,-40.37178542129038,0.9347054325205686,0.04409133831616563,1.1391755811323867,-0.027987996323360576,0.9661232852775709,0.03187796350983049,1.2142550377359458,0.027987996323360576,1.1610097992400306,-0.10793925391112413,0.9499033140081643,-0.037574682312537355,0.9665785788901687,-0.008159238593801355,0.9665785788870692,0.022379070283732205,1.0340750655836448,-31539.417775843147,0.8790585802594402
target,target,4,605.2961387385261,497.8932268700045,0.8225613794722751,627.1920802894991,0.4336189418813335,0.7543208549938882,0.17702836391698473,0.24567914500611177,2.368234879598704,1.2053477591587205,0.261737940288541,0.6187016023342745,266238.2401208251,512.8555821370802,443.85378968839456,0.8654557055591467,560.9795825027801,0.45958349747243965,0.7374105371533378,0.18652442684080814,0.2625894628466622,2.4661938699290893,1.2426428405114818,0.26983646430535957,0.6036635636046767,212081.1069590732,-92.4405566014459,0.8472804455780959,-54.03943718160997,0.8914638033513155,0.042894326086871604,1.0521472648197254,-66.21249778671904,0.894430271255725,0.025964555591106164,1.0598787393313458,-0.016910317840550415,0.9775820624213486,0.009496062923823406,1.0536414770642224,0.016910317840550415,1.0688309047927569,0.09795899033038546,1.0413637140358067,0.03729508135276127,1.0309413454070389,0.008098524016818542,1.0309413454039555,-0.015038038729597858,0.9756941978591341,-54157.13316175193,0.7965839424976136
target,target,5,951.722015646848,461.89320250475635,0.48532365009001627,603.0038104362962,0.20079133275798355,0.8949857430139673,0.06737462758717488,0.10501425698603273,3.5813620694972674,1.4901947308287333,0.32359167428011026,0.4401631239488082,235763.13432099143,884.6083565766402,422.40014113413764,0.4774996053268026,551.6028718171847,0.19660300412346562,0.8973035447142498,0.06973476592646628,0.10269645528575022,3.573822363550964,1.4861072865627871,0.32270409703521646,0.4382071952931288,197828.72916476117,-67.11365907020786,0.929481867639056,-39.493061370618705,0.9144974181121166,-0.007824044763213689,0.9838787069973896,-51.40093861911157,0.9147585177249179,-0.004188328634517929,0.9791408893104697,0.002317801700282507,1.0025897638229124,0.0023601383392913983,1.035030076198976,-0.002317801700282507,0.9779286949431188,-0.007539705946303599,0.9978947378676069,-0.004087444265946205,0.9972571072878036,-0.0008875772448938002,0.9972571072853911,-0.0019559286556793953,0.9955563550187307,-37934.40515623026,0.8390995044009613
target,target,6,1089.5776179294041,505.8227882282245,0.46423749892134564,660.1833951242111,0.1735871618374233,0.9095087484366221,0.04829255524970988,0.0904912515633779,3.647910380038697,1.518285445528502,0.3296914954735243,0.4307827443357187,281798.07986480766,1008.2248716994798,446.5451997754575,0.44290238448765246,584.3123639166575,0.17220827566506258,0.9106400437479671,0.05431595171021502,0.08935995625203286,3.7191305886393313,1.5438041090749353,0.33523280285540513,0.4307989898550798,221144.5021486245,-81.35274622992438,0.9253355200297477,-59.27758845276702,0.8828095731700759,-0.02133511443369318,0.9540426732346713,-75.87103120755353,0.8850758262508562,-0.0013788861723607049,0.9920565198557472,0.0011312953113450375,1.001243853137519,0.006023396460505141,1.124727226137337,-0.0011312953113450375,0.9874982907984181,0.07122020860063438,1.0195235631306434,0.025518663546433284,1.0168075532967606,0.005541307381880856,1.0168075532943466,1.6245519361079985e-05,1.000037711627438,-60653.57771618315,0.784762274656798
target,target,7,1192.5021184011314,685.5611047624452,0.5748929869253592,893.9743356795192,0.20769567746683862,0.888570376761463,0.05868853488074223,0.111429623238537,3.0268665961561507,1.4000394453523015,0.3040147027816969,0.508451241311317,532476.9275167831,1032.440033189732,608.670351774008,0.5895454769353677,794.0988811557398,0.22229950812384433,0.8802407645570534,0.07319844148127133,0.11975923544294664,3.160423918041433,1.4331829707903598,0.3112117278859813,0.49312340914389974,418326.6735860624,-160.06208521139934,0.8657762676128355,-76.89075298843716,0.8878425971743517,0.014652490010008568,1.02548733476007,-99.87545452377935,0.888279282147553,0.014603830657005712,1.0703135993683215,-0.008329612204409642,0.9906258272577588,0.014509906600529102,1.2472357953519653,0.008329612204409642,1.0747522244197463,0.13355732188528213,1.0441239538121183,0.03314352543805832,1.0236732797401251,0.0071970251042843825,1.0236732797374892,-0.015327832167417288,0.9698538799337848,-114150.25393072073,0.7856240373398661
target,target,8,2083.4088884229714,865.33812701412,0.4153472377998416,1098.4632850784012,0.07894841035038543,0.9587328908534704,0.014601604422631222,0.041267109146529646,2.036689207907814,1.1182686637213721,0.2428289549697575,0.6816884803954827,829998.7279383909,1827.5006240863402,725.7708948201252,0.3971385209145821,930.3183506016128,0.08219476368318547,0.9573817257214311,0.018491686241133686,0.0426182742785689,2.3741177574572907,1.2582646799518924,0.273228703638434,0.6199070768384906,580783.9092408931,-255.9082643366312,0.8771684877804564,-139.56723219399476,0.8387136451787034,-0.01820871688525949,0.9561602552537245,-168.14493447678842,0.8469271237729279,0.003246353332800045,1.0411199328441332,-0.001351165132039256,0.9985906761456416,0.003890081818502464,1.2664146832526677,0.001351165132039256,1.0327419380458382,0.33742854954947665,1.1656750319283784,0.13999601623052027,1.1251899662139477,0.03039974866867648,1.1251899662103202,-0.06178140355699213,0.9093700343563692,-249214.81869749783,0.6997407221134964
target,target,9,3217.4173149007634,1050.2046594066812,0.3264123228724133,1312.255131223453,0.03613457302180225,0.9813833466905456,0.004771121387266421,0.01861665330945439,1.6717279946807444,0.9324767577007187,0.20248475518622883,0.7649503687940029,1186418.7572185805,2683.137772194403,877.4023830354877,0.3270060867272962,1112.2920195053925,0.04238278130166221,0.9782307798377601,0.006588790562625102,0.02176922016223992,1.8975951990336493,1.0807214621902246,0.23467568375181416,0.7126370033165658,830717.0386528131,-534.2795427063602,0.8339414846088002,-172.80227637119356,0.8354584748568723,0.0005937638548829116,1.001819060777657,-199.96311171806042,0.8476187237068528,0.00624820827985996,1.172914960830369,-0.003152566852785532,0.9967876295594239,0.0018176691753586808,1.3809731562958887,0.003152566852785532,1.1693412236459908,0.22586720435290486,1.1351100209307103,0.14824470448950589,1.15897951693068,0.032190928565585336,1.1589795169261992,-0.052313365477437146,0.9316120788844845,-355701.7185657674,0.7001887264496152
