model_tag,condition,condition_family,layer,n_points,d_model,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace
base,target,target,0,100,3840,33.10863497389326,47.64500221765639,1.4390506360417417,59.545789678247665,0.7007105578539526,0.5534406448713828,0.35116718606662145,0.4465593551286172,3.666559421080564,1.4604499442481123,0.3171326759414334,0.4408295020844532,2507.835901396975
base,target,target,1,100,3840,774.0249013993924,508.39366207267545,0.6568182252967939,622.36095012038,0.32051174005621547,0.820997501679662,0.18076246486071357,0.179002498320338,1.7903726917000575,0.9261859287003937,0.2011187190255098,0.7323909854383167,274473.0378465361
base,target,target,2,100,3840,762.3385864382316,479.61198164289823,0.6291325011944127,591.6766251531644,0.30759037764706976,0.8304952276982953,0.1622929543060285,0.1695047723017047,2.002681949663289,1.0328657726067143,0.22428395279491742,0.6846743814781304,246327.6706232976
base,target,target,3,100,3840,773.2772899296717,492.6939075831874,0.6371503650753748,618.3023638836257,0.31680369470191677,0.8261720935352789,0.1487851293741974,0.17382790646472113,2.154618649418548,1.1242694375569517,0.24413200645172833,0.6567579518743348,260782.59907565676
base,target,target,4,100,3840,605.2961387385261,497.8932268700045,0.8225613794722751,627.1920802894991,0.4336189418813335,0.7543208549938882,0.17702836391698473,0.24567914500611177,2.368234879598704,1.2053477591587205,0.261737940288541,0.6187016023342745,266238.2401208251
base,target,target,5,100,3840,951.722015646848,461.89320250475635,0.48532365009001627,603.0038104362962,0.20079133275798355,0.8949857430139673,0.06737462758717488,0.10501425698603273,3.5813620694972674,1.4901947308287333,0.32359167428011026,0.4401631239488082,235763.13432099143
base,target,target,6,100,3840,1089.5776179294041,505.8227882282245,0.46423749892134564,660.1833951242111,0.1735871618374233,0.9095087484366221,0.04829255524970988,0.0904912515633779,3.647910380038697,1.518285445528502,0.3296914954735243,0.4307827443357187,281798.07986480766
base,target,target,7,100,3840,1192.5021184011314,685.5611047624452,0.5748929869253592,893.9743356795192,0.20769567746683862,0.888570376761463,0.05868853488074223,0.111429623238537,3.0268665961561507,1.4000394453523015,0.3040147027816969,0.508451241311317,532476.9275167831
base,target,target,8,100,3840,2083.4088884229714,865.33812701412,0.4153472377998416,1098.4632850784012,0.07894841035038543,0.9587328908534704,0.014601604422631222,0.041267109146529646,2.036689207907814,1.1182686637213721,0.2428289549697575,0.6816884803954827,829998.7279383909
base,target,target,9,100,3840,3217.4173149007634,1050.2046594066812,0.3264123228724133,1312.255131223453,0.03613457302180225,0.9813833466905456,0.004771121387266421,0.01861665330945439,1.6717279946807444,0.9324767577007187,0.20248475518622883,0.7649503687940029,1186418.7572185805
