condition,condition_family,layer,centroid_norm_base,abs_disp_l2_mean_base,rel_disp_l2_mean_base,pairwise_l2_mean_base,pairwise_cosine_distance_mean_base,cos_to_centroid_mean_base,cos_to_centroid_std_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_base,spectral_entropy_norm_base,top1_pc_variance_share_base,cov_trace_base,centroid_norm_instruct,abs_disp_l2_mean_instruct,rel_disp_l2_mean_instruct,pairwise_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,cos_to_centroid_mean_instruct,cos_to_centroid_std_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,cov_trace_instruct,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,abs_disp_l2_mean_instruct_minus_base,abs_disp_l2_mean_instruct_over_base,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_l2_mean_instruct_minus_base,pairwise_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,cos_to_centroid_mean_instruct_minus_base,cos_to_centroid_mean_instruct_over_base,cos_to_centroid_std_instruct_minus_base,cos_to_centroid_std_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_instruct_minus_base,spectral_entropy_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,cov_trace_instruct_minus_base,cov_trace_instruct_over_base,late_lo,late_hi,next_token_entropy_mean_base,next_token_entropy_norm_mean_base,top1_prob_mean_base,top5_mass_mean_base,logit_l2_mean_base,logit_std_mean_base,next_token_entropy_mean_instruct,next_token_entropy_norm_mean_instruct,top1_prob_mean_instruct,top5_mass_mean_instruct,logit_l2_mean_instruct,logit_std_mean_instruct,next_token_entropy_mean_instruct_minus_base,next_token_entropy_mean_instruct_over_base,next_token_entropy_norm_mean_instruct_minus_base,next_token_entropy_norm_mean_instruct_over_base,top1_prob_mean_instruct_minus_base,top1_prob_mean_instruct_over_base,top5_mass_mean_instruct_minus_base,top5_mass_mean_instruct_over_base,logit_l2_mean_instruct_minus_base,logit_l2_mean_instruct_over_base,logit_std_mean_instruct_minus_base,logit_std_mean_instruct_over_base
control,control,38.5,124106.9897579855,23146.024942138036,0.18757033279429278,30908.62782107233,0.01791066606284421,0.991041351535141,0.006391493567684076,0.008958648464859116,2.0232492618916336,1.1713425010783955,0.2543537923185505,0.6967075581882693,671645785.493965,101344.05676074814,20480.8858742226,0.19853895107137481,27894.979706032933,0.026725015237692832,0.9866175084070442,0.010252943797307642,0.013382491592955724,2.683813599616636,1.4906750516925338,0.323695974630456,0.5887850297360155,557027210.5352607,-22762.93299723735,0.8191767958825172,-2665.139067915432,0.8688872673096465,0.010968618277082036,1.0606627949977363,-3013.648115039394,0.8880482528316762,0.00881434917484862,1.4696685572280326,-0.004423843128096609,0.9955324115203437,0.0038614502296235656,1.5478210054311252,0.004423843128096609,1.470735706210415,0.6605643377250023,1.3460728036668668,0.31933255061413823,1.2922889470029408,0.06934218231190555,1.2922889469987755,-0.10792252845225375,0.8491041871304587,-114618574.95870443,0.7628314806598796,30,47,2.783375690318644,0.2230824300414162,0.4170208112895489,0.6500277933478356,2199.07345703125,3.342423961162567,1.1761644161315143,0.09426740953134644,0.6776087191700936,0.9066730630397797,2281.924044189453,3.099161868095398,-1.6072112741871296,0.4225676110566458,-0.12881502051006977,0.4225676110549034,0.2605879078805447,1.624879864084257,0.2566452696919441,1.3948219942546614,82.85058715820287,1.0376752249422583,-0.24326209306716917,0.9272198572369363
question_only,question_only,38.5,127500.85859058368,24826.219943778782,0.19716132963208283,35453.92798506747,0.019481200227061936,0.9911246614000255,0.006523209779120029,0.008875338599974494,1.791072765474196,0.9788883757237061,0.42512581997604265,0.7458288615324007,825350316.5025771,97001.26391640327,19749.341585863287,0.20185140170712512,29679.108852914625,0.030115058306560954,0.9863035257647308,0.008774610546052535,0.013696474235269164,3.079962799996072,1.5070068560691992,0.6544847617812211,0.5451013926817297,549124337.5384233,-30499.59467418042,0.7641841390728372,-5076.878357915495,0.783270095306543,0.0046900720750423,1.0263791049533755,-5774.819132152851,0.825184061053644,0.01063385807949902,1.5220585705033556,-0.00482113563529467,0.9951317441731748,0.002251400766932507,1.27457096133101,0.00482113563529467,1.5187192386233772,1.2888900345218761,1.7173122830887775,0.5281184803454928,1.5714011004458244,0.2293589418051785,1.5714011004435793,-0.20072746885067094,0.7280010706128734,-276225978.96415377,0.6223872156965383,30,47,2.9282742381095885,0.23469578150636905,0.41859813034534454,0.5996443033218384,2185.958630371094,3.375544548034668,0.911894789730286,0.0730866861928545,0.8163516342639923,0.9118473172187805,2373.348742675781,3.2472237586975097,-2.0163794483793023,0.3114103105037963,-0.16160909531351456,0.31141031050257584,0.3977535039186477,1.9502037278297204,0.31220301389694216,1.5206470105125927,187.39011230468714,1.0857244550290845,-0.1283207893371583,0.961985158983361
target,target,38.5,126770.0636043656,24827.819491349375,0.1960630388994813,32902.2693971335,0.018045643302665608,0.9909663372002474,0.0061406803072315205,0.00903366279975254,1.9113865977812148,1.1549949924139788,0.2508039759156396,0.7176853588273461,769277877.455956,107949.73209662443,21248.749727268863,0.19500353339288604,29208.85756084111,0.024505847064995537,0.9877384357224054,0.008551548148435272,0.012261564277594691,2.6360216402313608,1.5920294003736317,0.34570479180500546,0.6014327149456927,580324709.8538239,-18820.331507741183,0.8562458962296388,-3579.0697640805115,0.8520565462212897,-0.0010595055065952496,0.9953597669121935,-3693.411836292393,0.884142478507055,0.0064602037623299295,1.3436850959142275,-0.003227901477842151,0.9967400886008535,0.0024108678412037513,1.339185219743498,0.003227901477842151,1.3426751059213178,0.7246350424501456,1.379881755602829,0.4370344079596527,1.3886504362938465,0.09490081588936589,1.3886504362893732,-0.11625264388165338,0.8372807014751785,-188953167.60213208,0.7290999449695287,30,47,2.7774714760202914,0.222609218150638,0.42991862960159777,0.6419903758168221,2189.919619140625,3.345786452293396,1.76833501433146,0.1417287912287628,0.6142190094292164,0.8078850170969963,2131.7326599121093,2.8629890847206116,-1.0091364616888314,0.6366708099787897,-0.08088042692187519,0.6366708099761589,0.1843003798276186,1.4286866563493181,0.16589464128017428,1.258406741795535,-58.18695922851566,0.9734296369967449,-0.48279736757278435,0.8556998856748007
target_sentence_shuffle,target_shuffle,38.5,125158.1652418687,23794.973768338594,0.189814488037847,32125.323883699137,0.01765418641728911,0.9911733931356184,0.005960453692399041,0.008826606864381668,2.0207047667257454,1.2403041278442875,0.2693286193022997,0.6956323863070295,722931190.4173839,105211.27075405876,20331.595341591597,0.1909735232062058,27974.26189611902,0.02453579662084989,0.9877329669007854,0.00849647227929168,0.01226703309921457,2.9025361872856688,1.638339295393505,0.3557608577373304,0.5647972366791485,534580766.1355737,-19946.89448780995,0.8465383315550505,-3463.378426746996,0.8522077157261339,0.0011590351683587864,1.0069357207605047,-4151.061987580119,0.8687305441181814,0.006881610203560782,1.3747382725466055,-0.0034404262348329026,0.9965262782973592,0.00253601858689264,1.3744677434050796,0.0034404262348329026,1.3744187112812134,0.8818314205599234,1.438930902085918,0.39803516754921753,1.3293936080388853,0.08643223843503073,1.3293936080349216,-0.13083514962788095,0.8110640852154328,-188350424.28181013,0.7183989908603206,30,47,2.8800159756001085,0.2308279707370083,0.4189113140106201,0.6194496443867683,2150.201394042969,3.3105648446083067,1.5191844897974078,0.12175983603077195,0.6377483308315277,0.8505255782604217,2129.6461828613283,2.879102702140808,-1.3608314858027006,0.5274916884724322,-0.10906813470623636,0.5274916884703301,0.21883701682090761,1.522394620293873,0.23107593387365344,1.3730342505903557,-20.555211181640516,0.9904403321295444,-0.4314621424674985,0.869671139905004
target_word_shuffle,target_shuffle,38.5,117064.49828903936,20576.524104552707,0.17714915182067073,27877.885790037977,0.017050936866643558,0.9914870020159979,0.005912167977478166,0.008512997984002056,2.2469563199949643,1.3041520626286132,0.28319302218117537,0.6575285445668446,535970767.6747962,98104.9704780962,18357.430477492526,0.18495458834283326,25429.059149146142,0.025347925188229124,0.9873376005329857,0.008667876980730245,0.01266239946701435,3.417144251682475,1.730549023745196,0.37578394583779906,0.5001727005565779,440534388.1698692,-18959.527810943142,0.8466878714320951,-2219.093627060181,0.8840933127815327,0.007805436522162531,1.0458769493199531,-2448.826640891837,0.905502913052453,0.008296988321585567,1.4635235932759751,-0.004149401483012294,0.9958117897238219,0.0027557090032520773,1.4089942586924913,0.004149401483012294,1.4639121912231479,1.1701879316875108,1.540416167124019,0.42639696111658276,1.3418114689686482,0.09259092365662366,1.3418114689647949,-0.15735584401026664,0.7618032279504643,-95436379.50492707,0.7867289421641235,30,47,2.827805681619793,0.2266434119313761,0.45661725752055643,0.6408901324868203,2054.0201916503906,3.1525101351737974,1.226511597596218,0.09830264330375767,0.6992049717903137,0.8948580747842789,2108.5341467285157,2.845986032485962,-1.6012940840235752,0.43373263077016916,-0.12834076862761845,0.4337326307684088,0.24258771426975728,1.531271453876894,0.25396794229745867,1.396273759607752,54.513955078125036,1.0265401261875242,-0.3065241026878356,0.9027682419578201
