model_tag,late_lo,late_hi,question_only_rel_disp,context_mean_rel_disp,question_minus_context_rel_disp,target_rel_disp,control_rel_disp,control_minus_target_rel_disp,question_only_effective_rank,context_mean_effective_rank,target_effective_rank,control_effective_rank,question_only_logit_entropy,context_mean_logit_entropy,question_minus_context_logit_entropy,question_only_top1_prob,context_mean_top1_prob
base,30,48,0.2249514660905556,0.20796642606860058,0.016985040021955028,0.20821714644887523,0.21054340191474447,0.0023262554658692314,1.916956666477749,2.240916467428601,2.2564050638666173,2.2838161480566823,2.9282742381095885,2.7676221499219533,0.1606520881876352,0.41859813034534454,0.4321882093325258
instruct,30,48,0.2432395949150187,0.22866534230262814,0.014574252612390565,0.228821694326475,0.24025679593890337,0.011435101612428361,3.1365222879593824,2.9161937337910553,2.8963122634042406,2.5947303303560485,0.911894789730286,1.283252812191404,-0.37135802246111793,0.8163516342639923,0.690031884610653
instruct_minus_base,30,48,0.018288128824463096,0.02069891623402756,-0.0024107874095644632,0.02060454787759977,0.0297133940241589,0.00910884614655913,1.2195656214816333,0.6752772663624542,0.6399071995376233,0.3109141822993662,-2.0163794483793023,-1.4843693377305494,-0.5320101106487531,0.3977535039186477,0.25784367527812724
