condition,condition_family,late_lo,late_hi,centroid_norm_base,centroid_norm_instruct,centroid_reduction_base_minus_instruct,abs_disp_reduction_base_minus_instruct,cov_trace_reduction_base_minus_instruct,entropy_reduction_base_minus_instruct,top1_prob_gain_instruct_minus_base,top5_mass_gain_instruct_minus_base,top1_per_rel_disp_base,top1_per_rel_disp_instruct,top1_per_rel_disp_instruct_over_base,inverse_entropy_per_rel_disp_base,inverse_entropy_per_rel_disp_instruct,inverse_entropy_per_rel_disp_instruct_over_base,top1_per_pairwise_cosdist_base,top1_per_pairwise_cosdist_instruct,top1_per_pairwise_cosdist_instruct_over_base,entropy_reduction_per_centroid_reduction,top1_gain_per_centroid_reduction,entropy_reduction_per_abs_disp_reduction,top1_gain_per_abs_disp_reduction
control,control,30,47,122916.71054694166,104514.09176689097,18402.61878005069,869.0813939041691,22664417.156602383,1.5097014043949457,0.2677227325737477,0.23052428662776947,2.3546531515703566,3.4536249228466143,1.4667234197707075,1.9487771481233838,3.795531320228055,1.947647694802402,22.009097302583793,23.94623940738384,1.0880155182271627,8.203731340843367e-05,1.4548077954207898e-05,0.0017371231451785217,0.00030805254197314953
question_only,question_only,30,47,127500.85859058371,97001.26391640327,30499.594674180436,5076.878357915495,276225978.96415377,2.0163794483793023,0.3977535039186478,0.31220301389694205,2.123124910571234,4.044319867763058,1.9048902151842841,1.7320742885075167,5.432797230812002,3.136584421843803,21.48728648363106,27.107755393554502,1.2615718329163543,6.611168016886064e-05,1.3041271799436984e-05,0.00039716914730397496,7.834607723041064e-05
target,target,30,47,124817.26342203241,107665.15937877526,17152.104043257146,1611.4956656745635,81337332.9653678,1.2103123471548314,0.22403094470500945,0.1919478058815003,2.3841217736765743,3.428315611525409,1.4379783991642072,2.059758609795559,3.536872519739057,1.71712962039197,22.54873577300365,24.040205406199654,1.0661442684951141,7.056349145868379e-05,1.3061426408096023e-05,0.0007510490862215261,0.00013902050714559704
target_sentence_shuffle,target_shuffle,30,47,123870.72661935251,105477.67399208779,18393.052627264726,2312.210299567185,121998815.74505651,1.3692405705107373,0.2583906456828117,0.21684033274650572,2.371267366744979,3.684108500263055,1.5536453425404533,2.037364258693515,3.980119782417684,1.9535631713535762,22.938408009984926,25.390403353744734,1.1068947480004439,7.444335631819265e-05,1.4048274145629822e-05,0.0005921782161281093,0.00011175049507009762
target_word_shuffle,target_shuffle,30,47,120360.5658038513,98309.32912066783,22051.23668318348,3174.2502467144695,147401832.02804506,1.848223028861685,0.2812303781509399,0.2959854662418364,2.494729272335702,4.009948877242901,1.607368351230737,1.9865131869072357,5.565375991063947,2.8015801897221597,23.866391296282703,25.838652160819738,1.0826375818636285,8.38149377023902e-05,1.2753496876001032e-05,0.0005822549847084996,8.859741869502233e-05
