condition,condition_family,layer,rel_disp_l2_mean_base,pairwise_cosine_distance_mean_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_norm_base,top1_pc_variance_share_base,centroid_norm_base,rel_disp_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,centroid_norm_instruct,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base
target,target,0,1.4390506360417419,0.7707816136393445,0.4465593551286172,3.6665594210805645,0.634265351882867,0.44082950208445315,33.10863497389326,1.4334614234468546,0.7713657918411235,0.44704255517752256,3.629517443501092,0.6320077508751721,0.44551104998516244,33.090804289724495,-0.005589212594887316,0.9961160417459268,0.0005841782017790287,1.0007579036531762,0.0004832000489053412,1.001082051114493,-0.03704197757947236,0.9898973469876166,-0.0022576010076948982,0.9964406048635804,0.004681547900709293,1.0106198606889105,-0.01783068416876432,0.9994614491299981
target,target,1,0.6594338944719502,0.35505822048764757,0.18032981938248915,1.7983519286422922,0.40378487795255513,0.7306232672651185,778.773576280881,0.7086725277497271,0.3852438652182056,0.20030141357104914,1.564681216069537,0.3378735648010732,0.7908095157519573,744.7153133071674,0.04923863327777689,1.074668035248826,0.030185644730558014,1.0850160424057078,0.019971594188559982,1.1107503698270136,-0.2336707125727553,0.8700639686526538,-0.06591131315148191,0.8367662665166394,0.060186248486838845,1.0823765833670296,-34.05826297371357,0.9562667969085912
target,target,2,0.6271556682981057,0.33600592263880075,0.16822215370062632,1.9963731969466676,0.44593553200262165,0.6861484000106941,777.6723753220481,0.6525246500792501,0.3421359832076621,0.17398662088055816,1.7002063600415045,0.3781127138863949,0.7546813262388786,765.50188504523,0.02536898178114444,1.0404508530536718,0.00613006056886134,1.0182439062969517,0.0057644671799318425,1.0342669919037906,-0.2961668369051631,0.8516475590040058,-0.06782281811622676,0.8479089167609188,0.06853292622818452,1.0998806179917004,-12.1704902768181,0.9843501059533212
target,target,3,0.6445411460565351,0.3533466733445984,0.1764283979049186,2.137893725773787,0.48255425454937884,0.6600622114957435,784.4949481644143,0.7059810396426854,0.40716528759881554,0.20789469401262006,1.9894487404577075,0.45738212864581596,0.6906362062628799,675.219050843243,0.06143989358615032,1.0953234622195336,0.053818614254217134,1.1523110823250307,0.031466296107701464,1.1783516513224874,-0.14844498531607941,0.9305648435526036,-0.02517212590356288,0.9478356564734528,0.030573994767136403,1.0463198683905983,-109.27589732117121,0.8607054161701624
target,target,4,0.8490661628020191,0.49071408251449156,0.25379801566251214,2.3185893632251835,0.5127903805292792,0.6273325241994336,604.8531331913023,0.9115463408887523,0.5314709277462577,0.2786467190506685,2.3406561507859087,0.5183966306494034,0.6245096491079914,506.81619085631024,0.06248017808673323,1.0735869368288893,0.04075684523176615,1.083056196434875,0.024848703388156368,1.0979073982205638,0.02206678756072522,1.0095173332154947,0.005606250120124279,1.0109328301231526,-0.0028228750914421896,0.9955001933049142,-98.03694233499203,0.8379161205337001
target,target,5,0.4888944987000834,0.22533264623733448,0.10722138637058298,3.511162980656608,0.6370620672315328,0.4513279388310515,959.7190267684032,0.46755181893850617,0.2117726206922415,0.10040448315591277,3.4992997534801726,0.6360940388003841,0.4523911053220802,910.9821442052671,-0.02134267976157722,0.9563450195915859,-0.013560025545092974,0.9398221883403858,-0.006816903214670211,0.9364221686889426,-0.011863227176435398,0.996621282679617,-0.0009680284311487375,0.998480480188761,0.001063166491028722,1.0023556407626348,-48.73688256313608,0.9492175509667184
target,target,6,0.47332004117961013,0.19561447430037843,0.09287850807160825,3.585480939711259,0.6395835834745893,0.43732550655698116,1090.1980670135965,0.44943915707317134,0.19265566211930304,0.09098905409839764,3.6450290941646384,0.6458482893809541,0.4367539227884206,1006.7887912136767,-0.023880884106438793,0.9495460110924687,-0.002958812181075382,0.9848742676499653,-0.0018894539732106086,0.9796567148480301,0.059548154453379354,1.0166081358271446,0.0062647059063647426,1.009794976086349,-0.0005715837685605352,0.9986930015263477,-83.40927579991978,0.9234916311781716
target,target,7,0.5879679485958834,0.22796596866374247,0.11200228982437888,2.8926239660488653,0.5793752384842031,0.529584457841842,1191.503160172568,0.5791738650861142,0.23627855936220393,0.11538210426230666,3.1684375509285303,0.6039453367626668,0.48927076061395397,1052.3371291755534,-0.00879408350976918,0.9850432603822109,0.008312590698461464,1.0364641737806328,0.003379814437927786,1.0301762976649602,0.275813584879665,1.0953506532877528,0.02457009827846368,1.0424079191608242,-0.04031369722788808,0.9238767365018642,-139.16603099701456,0.8832012908997575
target,target,8,0.4170239196799632,0.08542751816166647,0.04070858397833832,1.9841885102043781,0.4590789542403982,0.691780843638338,2120.691562687688,0.38948896996863763,0.08667591063096525,0.040798777677617415,2.348205591908636,0.521868804170121,0.6227626350632334,1882.9496764250055,-0.027534949711325585,0.9339727329468519,0.0012483924692987813,1.0146134699350817,9.019369927909526e-05,1.002215594094967,0.36401708170425784,1.1834589202744548,0.06278984992972286,1.1367735317609573,-0.06901820857510466,0.9002311075672291,-237.74188626268256,0.8878941707292041
target,target,9,0.30552105119905554,0.03834692194761028,0.01784638204240374,1.7678510457860852,0.4159125025025747,0.7409398624657972,3301.521928747175,0.29718229962400977,0.045625848427753565,0.021116876554546415,2.151062834547039,0.49979664473474406,0.6607465990920465,2733.417452635136,-0.008338751575045766,0.9727064582185353,0.007278926480143284,1.1898177509239978,0.0032704945121426743,1.1832581249907452,0.38321178876095385,1.2167670119454774,0.08388414223216933,1.2016869936013725,-0.08019326337375077,0.8917681887059433,-568.1044761120388,0.8279264871254035
