condition,condition_family,layer,rel_disp_l2_mean_base,pairwise_cosine_distance_mean_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_norm_base,top1_pc_variance_share_base,centroid_norm_base,rel_disp_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,centroid_norm_instruct,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,late_lo,late_hi,next_token_entropy_mean_base,next_token_entropy_norm_mean_base,top1_prob_mean_base,top5_mass_mean_base,logit_l2_mean_base,logit_std_mean_base,next_token_entropy_mean_instruct,next_token_entropy_norm_mean_instruct,top1_prob_mean_instruct,top5_mass_mean_instruct,logit_l2_mean_instruct,logit_std_mean_instruct,next_token_entropy_mean_instruct_minus_base,next_token_entropy_mean_instruct_over_base,next_token_entropy_norm_mean_instruct_minus_base,next_token_entropy_norm_mean_instruct_over_base,top1_prob_mean_instruct_minus_base,top1_prob_mean_instruct_over_base,top5_mass_mean_instruct_minus_base,top5_mass_mean_instruct_over_base,logit_l2_mean_instruct_minus_base,logit_l2_mean_instruct_over_base,logit_std_mean_instruct_minus_base,logit_std_mean_instruct_over_base
control,control,39.0,0.21054340191474447,0.03892135783869049,0.018628994600404354,2.2838161480566823,0.5228524446536628,0.65224158180403,116453.5236407171,0.24025679593890337,0.05272736278676362,0.025753777570478836,2.5947303303560485,0.5752799408015269,0.597381701202513,99019.0531666551,0.02971339402415889,1.1201678705163263,0.013806004948073136,1.4562591221905457,0.007124782970074485,1.4624870296852095,0.310914182299366,1.1681117944722146,0.05242749614786411,1.1162217347492842,-0.054859880601516975,0.9272370640614616,-17434.470474062004,0.8572168637029253,30,48,2.8153857359662653,0.22564797618513155,0.42916753217577935,0.6440416067838669,2170.741162109375,3.2528791189193726,1.3056843315713196,0.10464819196598885,0.696890264749527,0.8745658934116364,2199.210412597656,2.926634192466736,-1.5097014043949457,0.46376747416557235,-0.1209997842191427,0.46376747416368175,0.2677227325737476,1.6238187013235414,0.23052428662776947,1.3579338418484708,28.469250488280977,1.013114990854375,-0.3262449264526368,0.8997057946125224
question_only,question_only,39.0,0.22495146609055558,0.03921198242772522,0.01881469121253565,1.9169566664777493,0.44021689215280857,0.7251036764039969,120796.54044214862,0.24323959491501876,0.055381957056767496,0.02718907857045615,3.136522287959383,0.6574961712633242,0.53514736260687,91902.17361924224,0.018288128824463137,1.0440825684580237,0.01616997462904228,1.5100389990611949,0.008374387357920498,1.5106724097813977,1.2195656214816335,1.6792032453396266,0.21727927911051553,1.5413159242052288,-0.18995631379712674,0.742903513660082,-28894.366822906366,0.7764778902139465,30,48,2.9282742381095885,0.23469578150636905,0.41859813034534454,0.5996443033218384,2185.958630371094,3.375544548034668,0.911894789730286,0.0730866861928545,0.8163516342639923,0.9118473172187805,2373.348742675781,3.2472237586975097,-2.0163794483793023,0.3114103105037963,-0.16160909531351456,0.31141031050257584,0.3977535039186477,1.9502037278297204,0.31220301389694216,1.5206470105125927,187.39011230468714,1.0857244550290845,-0.1283207893371583,0.961985158983361
target,target,39.0,0.20821714644887526,0.03829066754042549,0.018319245877328184,2.2564050638666173,0.5207037707322776,0.6529967675588215,118254.19295270852,0.228821694326475,0.051436845465027324,0.025090667424529325,2.896312263404241,0.618159309341467,0.5533685413501174,102003.95737604355,0.02060454787759975,1.0708936494126846,0.013146177924601826,1.398640356587554,0.006771421547201141,1.4021164515921292,0.6399071995376239,1.3155750489557838,0.09745553860918943,1.2029624742126785,-0.0996282262087042,0.8559648066157781,-16250.235576664974,0.8661726530802083,30,48,2.6926795781590043,0.21581330386263403,0.42986039221286776,0.6660243570804596,2199.0865234375,3.2801403284072874,1.482367231004173,0.11880900061619726,0.6538913369178772,0.8579721629619599,2072.258544921875,2.7636584997177125,-1.2103123471548314,0.5505175004955928,-0.09700430324643677,0.5505175004932462,0.2240309447050094,1.5211714053258196,0.1919478058815003,1.2881993786557926,-126.82797851562509,0.9423269720568452,-0.5164818286895749,0.8425427643392313
target_sentence_shuffle,target_shuffle,39.0,0.20824252108400562,0.037738556094840316,0.018048874367153994,2.1971797661802754,0.5073587060090295,0.6620277977549245,117357.439391788,0.22526100977072994,0.0513504899319567,0.025086774444811496,2.94465206233327,0.625287350889102,0.5445351803893658,99931.70942866614,0.017018488686724332,1.0477726802271492,0.013611933837116383,1.419524337214369,0.007037900077657501,1.4229572161886868,0.7474722961529948,1.3803028800073653,0.11792864488007246,1.2517830766255436,-0.11749261736555891,0.8335559229483258,-17425.72996312186,0.8595711294806028,30,48,2.7170742505230008,0.2177684918776596,0.4283614054322243,0.6573698222637177,2193.5917358398438,3.285229206085205,1.3478336800122634,0.10802638453538349,0.686752051115036,0.8742101550102234,2113.7902587890626,2.848080205917358,-1.3692405705107373,0.4960606725238838,-0.1097421073422761,0.49606067252178837,0.2583906456828117,1.6032071106417438,0.21684033274650572,1.3298604916156098,-79.80147705078116,0.9636206338002868,-0.43714900016784686,0.8669350073477412
target_word_shuffle,target_shuffle,39.0,0.204862634826777,0.03743757581214626,0.017906004737625304,2.226264891610829,0.5076850553604849,0.6596665164047636,114031.77323316812,0.22032186917440413,0.05244103102913017,0.025652803279926983,3.229080279070659,0.6413557033475851,0.5000655451728042,93140.70063776647,0.015459234347627129,1.0365893739809433,0.015003455216983916,1.4780513601359306,0.007746798542301677,1.4815612752215532,1.0028153874598302,1.4928555667196057,0.1336706479871003,1.289049447294228,-0.15960097123195938,0.764187294861593,-20891.07259540164,0.8303979028361453,30,48,2.8453490350395443,0.2280494793643734,0.4413635075092316,0.6313709020614624,2108.0065795898436,3.1982479095458984,0.9971260061778594,0.07991781105560483,0.7225938856601715,0.9273563683032989,2139.070446777344,2.8959000587463377,-1.848223028861685,0.35044066436076127,-0.14813166830876856,0.3504406643593478,0.2812303781509399,1.637185388833762,0.2959854662418365,1.4687980793444204,31.063867187500364,1.0147361338850962,-0.3023478507995607,0.905464535785972
