condition,condition_family,layer,centroid_norm_base,abs_disp_l2_mean_base,rel_disp_l2_mean_base,pairwise_l2_mean_base,pairwise_cosine_distance_mean_base,cos_to_centroid_mean_base,cos_to_centroid_std_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_base,spectral_entropy_norm_base,top1_pc_variance_share_base,cov_trace_base,centroid_norm_instruct,abs_disp_l2_mean_instruct,rel_disp_l2_mean_instruct,pairwise_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,cos_to_centroid_mean_instruct,cos_to_centroid_std_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,cov_trace_instruct,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,abs_disp_l2_mean_instruct_minus_base,abs_disp_l2_mean_instruct_over_base,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_l2_mean_instruct_minus_base,pairwise_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,cos_to_centroid_mean_instruct_minus_base,cos_to_centroid_mean_instruct_over_base,cos_to_centroid_std_instruct_minus_base,cos_to_centroid_std_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_instruct_minus_base,spectral_entropy_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,cov_trace_instruct_minus_base,cov_trace_instruct_over_base,late_lo,late_hi,next_token_entropy_mean_base,next_token_entropy_norm_mean_base,top1_prob_mean_base,top5_mass_mean_base,logit_l2_mean_base,logit_std_mean_base,next_token_entropy_mean_instruct,next_token_entropy_norm_mean_instruct,top1_prob_mean_instruct,top5_mass_mean_instruct,logit_l2_mean_instruct,logit_std_mean_instruct,next_token_entropy_mean_instruct_minus_base,next_token_entropy_mean_instruct_over_base,next_token_entropy_norm_mean_instruct_minus_base,next_token_entropy_norm_mean_instruct_over_base,top1_prob_mean_instruct_minus_base,top1_prob_mean_instruct_over_base,top5_mass_mean_instruct_minus_base,top5_mass_mean_instruct_over_base,logit_l2_mean_instruct_minus_base,logit_l2_mean_instruct_over_base,logit_std_mean_instruct_minus_base,logit_std_mean_instruct_over_base
control,control,38.5,122916.71054694166,22212.848704879885,0.18226358811581478,32493.059891873258,0.019499551765050693,0.9911408252410511,0.006128231615471411,0.008859174758948861,2.1631709860981783,1.1763592154942615,0.5108863160251961,0.6706866907624959,684580781.8152498,104514.09176689097,21343.767310975716,0.20178516205855637,31482.214622997,0.029102284198774617,0.9867441110681808,0.010036127013340645,0.013255888931818971,2.5221778464615436,1.3121720098893714,0.5698690632028531,0.6101229392699635,661916364.6586474,-18402.618780050685,0.8530154376229651,-869.0813939041726,0.9471930434631517,0.019521573942741597,1.1103862583781607,-1010.8452688762596,0.9577359049840806,0.009602732433723922,1.4688138128845025,-0.004396714172870131,0.9955602284538718,0.003907895397869234,1.5813054938135174,0.004396714172870111,1.472118445417361,0.3590068603633651,1.184368667445542,0.13581279439510974,1.127612663831484,0.058982747177657044,1.127612663830182,-0.06056375149253231,0.9149003187599474,-22664417.156602357,0.9076500733488158,30,47,2.8153857359662653,0.2256479761851315,0.4291675321757793,0.6440416067838669,2170.741162109375,3.2528791189193726,1.3056843315713196,0.1046481919659888,0.696890264749527,0.8745658934116364,2199.210412597656,2.926634192466736,-1.5097014043949457,0.46376747416557235,-0.12099978421914269,0.4637674741636817,0.2677227325737477,1.6238187013235417,0.23052428662776947,1.3579338418484708,28.469250488280977,1.013114990854375,-0.3262449264526368,0.8997057946125224
question_only,question_only,38.5,127500.85859058371,24826.219943778782,0.19716132963208277,35453.92798506747,0.019481200227061887,0.9911246614000255,0.006523209779119978,0.008875338599974456,1.791072765474196,0.9788883757237061,0.4251258199760426,0.7458288615324007,825350316.5025771,97001.26391640327,19749.341585863287,0.2018514017071251,29679.108852914625,0.030115058306560902,0.9863035257647308,0.0087746105460525,0.013696474235269112,3.079962799996072,1.5070068560691992,0.6544847617812211,0.5451013926817297,549124337.5384233,-30499.594674180422,0.7641841390728371,-5076.878357915494,0.783270095306543,0.004690072075042291,1.0263791049533753,-5774.81913215285,0.825184061053644,0.010633858079499016,1.522058570503357,-0.004821135635294682,0.9951317441731748,0.0022514007669325225,1.2745709613310154,0.004821135635294655,1.518719238623378,1.2888900345218761,1.7173122830887775,0.5281184803454928,1.5714011004458244,0.2293589418051785,1.5714011004435793,-0.20072746885067094,0.7280010706128734,-276225978.96415377,0.6223872156965383,30,47,2.9282742381095885,0.234695781506369,0.4185981303453445,0.5996443033218384,2185.958630371094,3.375544548034668,0.911894789730286,0.0730866861928545,0.8163516342639923,0.9118473172187804,2373.348742675781,3.2472237586975097,-2.0163794483793023,0.3114103105037963,-0.1616090953135145,0.3114103105025759,0.3977535039186478,1.9502037278297206,0.31220301389694205,1.5206470105125927,187.39011230468714,1.0857244550290845,-0.1283207893371583,0.961985158983361
target,target,38.5,124817.26342203241,22462.655706106496,0.18030135748795761,32684.15216131066,0.01906361387696808,0.9913399714639429,0.005821280141088649,0.008660028536056978,2.142413475866717,1.1729687482738216,0.509413854820285,0.6704399865882453,708264078.8536206,107665.15937877526,20851.160040431932,0.19073253778507973,30828.615185479077,0.027199906400350762,0.9876331606159563,0.008789025373967483,0.012366839384043623,2.830419608625247,1.4135407304556145,0.6138929391823652,0.5639172749681786,626926745.8882529,-17152.104043257143,0.8664939713237219,-1611.495665674566,0.917086121553661,0.010431180297122113,1.0589069804516351,-1855.5369758315865,0.93372070259795,0.008136292523382677,1.4058532172663678,-0.003706810847986661,0.9962576892948856,0.0029677452328788333,1.4508147540448826,0.003706810847986644,1.4065526826084755,0.6880061327585302,1.336019668927192,0.24057198218179307,1.216461263901881,0.1044790843620802,1.2164612639004888,-0.1065227116200667,0.8439525019872982,-81337332.96536773,0.834147760879122,30,47,2.6926795781590043,0.215813303862634,0.4298603922128677,0.6660243570804596,2199.0865234375,3.2801403284072874,1.482367231004173,0.1188090006161972,0.6538913369178772,0.8579721629619599,2072.258544921875,2.7636584997177125,-1.2103123471548314,0.5505175004955928,-0.0970043032464368,0.5505175004932461,0.22403094470500945,1.5211714053258196,0.1919478058815003,1.2881993786557926,-126.82797851562509,0.9423269720568452,-0.5164818286895749,0.8425427643392313
target_sentence_shuffle,target_shuffle,38.5,123870.72661935251,22359.99360434042,0.1806466075640646,32482.390753172564,0.01867441738863583,0.9915165236684911,0.0057778209208307505,0.008483476331508893,2.0835513280985665,1.1415900760081337,0.49578627060584624,0.6797927348561909,708376601.7337813,105477.67399208779,20047.783304773235,0.18640929035133355,29691.033296918853,0.027047701508387388,0.9877052488346523,0.008923503728843284,0.012294751165347544,2.8892401643997814,1.4324636535970525,0.6221110602841711,0.5536562922189099,586377785.9887248,-18393.052627264715,0.8583092188566135,-2312.2102995671835,0.8859322866063054,0.005762682787268937,1.0331191795179886,-2791.357456253713,0.9036857468513122,0.008373284119751556,1.4270922645130495,-0.0038112748338386838,0.996153090214486,0.0031456828080125335,1.4816435202951022,0.0038112748338386495,1.4274373603607478,0.8056888363012149,1.4053648977657947,0.2908735775889189,1.268348432003475,0.1263247896783249,1.2683484320019864,-0.12613644263728097,0.8181252389258804,-121998815.74505655,0.7778818374034608,30,47,2.7170742505230008,0.2177684918776596,0.4283614054322243,0.6573698222637177,2193.591735839844,3.285229206085205,1.3478336800122634,0.1080263845353834,0.686752051115036,0.8742101550102234,2113.7902587890626,2.848080205917358,-1.3692405705107373,0.4960606725238838,-0.1097421073422762,0.4960606725217879,0.2583906456828117,1.6032071106417438,0.21684033274650572,1.3298604916156098,-79.80147705078161,0.9636206338002867,-0.43714900016784686,0.8669350073477412
target_word_shuffle,target_shuffle,38.5,120360.5658038513,21145.141456887333,0.17691839848157478,30750.153817491115,0.01849309776271495,0.9916016832239135,0.006097832173827311,0.008398316776086523,2.1197394373503355,1.1431058040466857,0.49644454292905543,0.6765756325775423,622770009.0499707,98309.32912066783,17970.891210172864,0.18020027381321416,26686.767843782174,0.0279656183742445,0.9872951397259173,0.009269465068640261,0.012704860274082706,3.1838912004849007,1.4713159305358732,0.6389843897680778,0.508521054754726,475368177.0219257,-22051.236683183484,0.8249493856544312,-3174.2502467144677,0.8400209354014128,0.0032818753316393844,1.0202057269756117,-4063.385973708942,0.8591932857146161,0.009472520611529549,1.4877920687585517,-0.00430654349799614,0.9956535489351115,0.00317163289481295,1.4650128868966419,0.004306543497996184,1.4878399497296573,1.0641517631345652,1.5215937639681476,0.3282101264891875,1.3071401762898789,0.14253984683902246,1.307140176288317,-0.1680545778228163,0.752249300006437,-147401832.02804497,0.7211235122278085,30,47,2.8453490350395443,0.2280494793643734,0.4413635075092316,0.6313709020614624,2108.006579589844,3.1982479095458984,0.9971260061778594,0.0799178110556048,0.7225938856601715,0.9273563683032988,2139.070446777344,2.8959000587463377,-1.848223028861685,0.35044066436076127,-0.1481316683087686,0.3504406643593477,0.2812303781509399,1.637185388833762,0.2959854662418364,1.4687980793444202,31.06386718749991,1.014736133885096,-0.3023478507995607,0.905464535785972
