model_tag,condition,condition_family,layer,n_points,d_model,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace
base,target,target,13,10,3840,8574.569189237709,1873.818769873095,0.21853211846782938,2688.7097792046407,0.011550977390213112,0.9947299327533408,0.001878393680823213,0.005270067246659238,1.3516942564727707,0.6478634673145434,0.2813635288814139,0.8575171371735979,4750307.119931433
base,target,target,14,10,3840,14943.223931904473,2178.301753293615,0.14577187380849188,3158.911731578422,0.0047686252596408595,0.9978423923743438,0.0007676978420443883,0.0021576076256561993,1.3003425398596624,0.5923131372999256,0.25723832708816086,0.8750446734865954,6926641.161308894
base,target,target,15,10,3840,19663.871168343958,2623.7526739087284,0.13343011919914313,3792.418082798292,0.0031726972084015303,0.9985670042636621,0.0005712564181981842,0.0014329957363379275,1.2386359071061799,0.5100358031296968,0.2215057348723206,0.897275955186771,10056846.878243126
base,target,target,16,10,3840,24013.983748286413,1989.0205275714925,0.08282759530531558,3019.8540259214087,0.002552908818678068,0.9988496308152646,0.0004780235896296219,0.0011503691847354336,1.6765921864341902,0.9586050250413869,0.41631687270020284,0.7645577809938318,5473737.046713026
base,target,target,17,10,3840,27483.04030191609,3096.217320361163,0.11265919950440481,4587.95879903318,0.002225377379848196,0.9989957929972683,0.00029408241460231145,0.0010042070027317385,1.2481474922957445,0.533608538642657,0.23174324382896402,0.8939250518033544,13503919.85937982
base,target,target,18,10,3840,32541.092754400554,2853.8088030212903,0.08769861616387692,4519.512785513517,0.0020243739033260796,0.9990874022641719,0.0003086340541107064,0.0009125977358280801,1.3322410633872785,0.6468891036952897,0.2809403681382048,0.8643760300647785,13740154.595872737
base,target,target,19,10,3840,37266.83237576191,3302.744307016727,0.08862422954854647,5335.347762341914,0.0018944971957921947,0.9991458581167596,0.00026928103724862634,0.0008541418832404002,1.2668519731857786,0.5612739519235524,0.24375818015642986,0.8870906890003379,20330731.78946562
base,target,target,20,10,3840,40211.48669960989,4073.6002739843207,0.1013043935533933,6550.141862910415,0.0017960311165470082,0.9991897872868837,0.0002710942079592357,0.0008102127131163206,1.1811852025625298,0.4287227308383945,0.18619191626960782,0.9194396212384316,31199987.138933785
base,target,target,21,10,3840,43334.95472799066,4084.6711640099966,0.0942581154093522,6560.802591652674,0.0017804728005026342,0.9991970771771509,0.0002625029083692384,0.0008029228228491059,1.2140910754666856,0.481771774408457,0.20923082316233113,0.9066343520863066,31228992.33836094
base,target,target,22,10,3840,48905.44343096075,5400.343903601495,0.1104241884898784,8590.688958834353,0.0018363895934728905,0.9991707785546879,0.0003455322350982853,0.0008292214453120561,1.1539069993181799,0.38001773669836963,0.1650396060734648,0.9304098244512603,52622433.88170915
base,target,target,23,10,3840,56930.42062211485,7234.983013175918,0.12708465762442409,11028.748395495584,0.00204805718034165,0.9990743036725973,0.0003690724615354242,0.0009256963274026919,1.1421841532722965,0.3563833316256311,0.1547753143673082,0.9352085457647077,84855684.73410754
base,target,target,24,10,3840,63611.453386293266,9237.113521131003,0.14521148361501482,13145.66654736093,0.0024221113062223164,0.9989019308595373,0.0004621872680805538,0.0010980691404627319,1.1261910597864182,0.3310806200023916,0.14378648633214602,0.9419910605224492,118564033.73335777
base,target,target,25,10,3840,67798.57271388569,9684.038739974592,0.14283543668156343,13622.985727796999,0.002765462930948106,0.9987454660281265,0.000540487635357959,0.0012545339718734727,1.1444310026531899,0.36445608609783203,0.1582812670883449,0.9343338419102316,132103265.5683465
base,target,target,26,10,3840,68384.83493219076,9431.53717125523,0.13791854847068624,13304.883816003783,0.0033900520926019202,0.9984631592877911,0.0006534401866688887,0.0015368407122089423,1.19944896888432,0.4572066224228812,0.19856231320788084,0.9122217605233023,128141191.59861067
base,target,target,27,10,3840,70418.06743065259,11505.50699511528,0.16338856510718436,16359.650293194525,0.004844484328948289,0.9977961193429014,0.001013733937916898,0.0022038806570986447,1.1965278080903248,0.4525634247428681,0.19654579807706518,0.913366744485433,192733799.5928711
base,target,target,28,10,3840,71402.69029089597,10596.765023690123,0.14840848405737503,15138.599894243536,0.006415878995779299,0.997091333429396,0.0011766575448049898,0.002908666570603957,1.3984231045315993,0.7111740283029222,0.30885895616486614,0.8422254258652657,159573498.2046033
base,target,target,29,10,3840,75458.89154393392,11283.082843373215,0.14952622033685642,16247.358061086796,0.007792620205814087,0.9964687649635225,0.0013497726304203962,0.0035312350364774536,1.5361119583173837,0.8460346337066768,0.3674281729178486,0.8012183606665413,175213573.31211448
base,target,target,30,10,3840,74297.9927193926,11860.118871684195,0.15962906180355763,17071.81582638456,0.00946781143974662,0.9957040354911009,0.0018851324319035796,0.0042959645088991305,1.5609181533958205,0.8698286285883666,0.3777617735974007,0.7945861376072696,191876208.56023902
base,target,target,31,10,3840,75282.01426875015,12450.368261936545,0.16538303847038188,17957.981740079555,0.009968274273636335,0.9954750375012231,0.001957437841765608,0.004524962498776874,1.5539908180561128,0.8669398262777501,0.3765071826945906,0.7967413252528678,209986197.58721617
base,target,target,32,10,3840,76015.71580815702,12966.733705920253,0.17057964353903815,18690.449800940463,0.012674483628406381,0.9942449588981521,0.003033064779573552,0.00575504110184788,1.699627941566431,0.9789789432360956,0.4251651529469131,0.7589446805355401,220042822.56027275
base,target,target,33,10,3840,77293.72881818644,13856.347312163747,0.17926871330994043,19951.861215870205,0.014836370186095202,0.9932606809528215,0.0037835286830580454,0.006739319047178505,1.7813762533466755,1.0306730080323792,0.44761560003508816,0.7394418758146554,244999940.1430794
