condition,condition_family,layer,centroid_norm_base,abs_disp_l2_mean_base,rel_disp_l2_mean_base,pairwise_l2_mean_base,pairwise_cosine_distance_mean_base,cos_to_centroid_mean_base,cos_to_centroid_std_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_base,spectral_entropy_norm_base,top1_pc_variance_share_base,cov_trace_base,centroid_norm_instruct,abs_disp_l2_mean_instruct,rel_disp_l2_mean_instruct,pairwise_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,cos_to_centroid_mean_instruct,cos_to_centroid_std_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,cov_trace_instruct,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,abs_disp_l2_mean_instruct_minus_base,abs_disp_l2_mean_instruct_over_base,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_l2_mean_instruct_minus_base,pairwise_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,cos_to_centroid_mean_instruct_minus_base,cos_to_centroid_mean_instruct_over_base,cos_to_centroid_std_instruct_minus_base,cos_to_centroid_std_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_instruct_minus_base,spectral_entropy_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,cov_trace_instruct_minus_base,cov_trace_instruct_over_base
target,target,10,3598.8251119938845,1424.8874497815218,0.3959312846386359,1922.7669532501468,0.0399969634160296,0.9806586993925054,0.0029851321269862,0.0193413006074946,1.361604237891426,0.6332679886550902,0.2750247930388767,0.8538853108143777,2466991.592340243,2997.28994620511,1123.2858539698211,0.3747671643819514,1522.6350570085626,0.0455363359041483,0.9782456327474618,0.0023420791671085,0.0217543672525382,1.5617625607538512,0.8211884871444713,0.3566376285693233,0.7937271867125263,1479359.7735740268,-601.5351657887745,0.8328523484556041,-301.6015958117007,0.7883330393162309,-0.021164120256684515,0.9465459763379208,-400.1318962415842,0.7918978711563446,0.005539372488118699,1.138494825953717,-0.0024130666450435934,0.9975393410087159,-0.0006430529598776998,0.7845814076874682,0.0024130666450436003,1.1247623773027857,0.2001583228624253,1.1470018359896137,0.1879204984893812,1.2967471936915407,0.08161283553044657,1.2967471936888733,-0.060158124101851396,0.9295477702439848,-987631.8187662163,0.5996614573666517
target,target,11,6963.086312175005,1796.0867748229098,0.2579440630633056,2489.4143007401126,0.0126128713222227,0.9941860485841996,0.0015508992594909,0.0058139514158004,1.2598107015332314,0.5258419720792785,0.2283702668271544,0.8893327299186876,4189867.744753442,6066.038397425166,1496.1947879679317,0.2466510578968667,2058.035583105916,0.0136285742791653,0.9937258655575054,0.0015044545994285,0.0062741344424945,1.343175709716238,0.6324427333733559,0.274666389223858,0.8602988858002139,2747769.96587195,-897.047914749839,0.8711709327541517,-299.8919868549781,0.8330303462734714,-0.011293005166438885,0.9562191700274818,-431.3787176341966,0.8267147748344071,0.0010157029569426,1.0805290825470086,-0.0004601830266941498,0.9995371258444543,-4.6444660062400006e-05,0.970053076788689,0.00046018302669410035,1.0791515086218855,0.08336500818300663,1.0661726464781434,0.10660076129407736,1.2027239493100086,0.04629612239670361,1.2027239493070296,-0.02903384411847376,0.9673532265903497,-1442097.7788814916,0.6558130550332314
target,target,12,7499.087954298168,1797.0243446937834,0.2396323867176145,2522.8527116481314,0.0130388960635326,0.9940239130472952,0.0018824331171022,0.0059760869527046,1.3266590785109094,0.6130246743530948,0.266233233342087,0.8658213941913427,4260697.370941704,6317.209704827626,1432.6546758221857,0.2267859929879084,2022.1820609610152,0.015214538158223,0.9930456755984072,0.0023401252213753,0.0069543244015928,1.49353014102146,0.7902374083941436,0.343195745859103,0.8135683533707575,2589167.648382438,-1181.878249470542,0.8423970679270218,-364.3696688715977,0.7972372105322325,-0.012846393729706085,0.9463912457467996,-500.6706506871162,0.8015458261294857,0.0021756420946904,1.166857844630606,-0.0009782374488880308,0.999015881371618,0.0004576921042730997,1.2431385736214247,0.0009782374488882,1.1636919702585296,0.16687106251055073,1.125782927364223,0.17721273404104876,1.289079284168727,0.07696251251701602,1.2890792841659882,-0.05225304082058524,0.939649168786909,-1671529.7225592663,0.6076863534220401
target,target,13,8574.569189237709,1873.818769873095,0.2185321184678293,2688.7097792046407,0.0115509773902131,0.9947299327533408,0.0018783936808232,0.0052700672466592,1.3516942564727707,0.6478634673145434,0.2813635288814139,0.8575171371735979,4750307.119931433,7048.529794621862,1664.2867314463626,0.2361182799732561,2423.069630606725,0.0147138527505365,0.9932683334545792,0.0022498033134379,0.0067316665454209,1.384286985559445,0.6881391962132025,0.2988550556967329,0.8469878991598614,3801701.080817632,-1526.0393946158474,0.8220272807954896,-209.53203842673247,0.8881791335450632,0.0175861615054268,1.0804740357053522,-265.64014859791587,0.9012016281368617,0.0031628753603234003,1.2738188511847854,-0.0014615992987615511,0.9985306571646895,0.00037140963261470005,1.1977272577142635,0.0014615992987617003,1.2773397812733598,0.03259272908667432,1.0241125009813243,0.04027572889865916,1.062167001119146,0.01749152681531896,1.0621670011170103,-0.010529238013736508,0.9877212506219656,-948606.0391138014,0.8003063770058948
target,target,14,14943.223931904471,2178.301753293615,0.1457718738084918,3158.911731578422,0.0047686252596408,0.9978423923743438,0.0007676978420443,0.0021576076256561,1.3003425398596624,0.5923131372999256,0.2572383270881608,0.8750446734865954,6926641.161308894,12975.02054527024,1768.2650995719753,0.136282258159241,2633.052623331658,0.0055316922889135,0.9975001809801548,0.000966543105018,0.0024998190198453,1.4403474885108667,0.7532905348775427,0.3271499225672658,0.8295406463781718,4553660.927150953,-1968.2033866342317,0.8682879012184226,-410.0366537216398,0.8117631530610206,-0.009489615649250799,0.9349009146808889,-525.8591082467638,0.8335315599388379,0.0007630670292727007,1.1600182414355118,-0.00034221139418899593,0.9996570486503642,0.0001988452629737,1.259015006718243,0.00034221139418919976,1.158606870387998,0.14000494865120428,1.1076677447353267,0.1609773975776171,1.2717775234737572,0.06991159547910503,1.2717775234709607,-0.045504027108423606,0.9479980525702055,-2372980.2341579413,0.657412564200232
target,target,15,19663.87116834396,2623.7526739087284,0.1334301191991431,3792.418082798292,0.0031726972084015,0.998567004263662,0.0005712564181981,0.0014329957363379,1.23863590710618,0.5100358031296968,0.2215057348723206,0.897275955186771,10056846.878243126,17484.439262923457,2227.993254187103,0.1274272065968774,3336.293365986563,0.003650302824001,0.998352350251251,0.0007962036351542,0.0016476497487489,1.3194974082022832,0.6184639872316939,0.2685954969106078,0.8683961640751187,7159410.665586088,-2179.4319054205043,0.889165674105459,-395.75941972162536,0.8491628331979765,-0.006002912602265709,0.9550108128565677,-456.12471681172883,0.8797272065333126,0.00047760561559950006,1.1505361473462499,-0.00021465401241094195,0.9997850379468837,0.00022494721695609998,1.3937762594805834,0.00021465401241100007,1.1497938938811962,0.08086150109610313,1.065282703844711,0.10842818410199717,1.2125893583067,0.047089762038287214,1.212589358303603,-0.028879791111652287,0.967813925085501,-2897436.212657038,0.7118941704357337
target,target,16,24013.983748286413,1989.0205275714925,0.0828275953053155,3019.8540259214087,0.002552908818678,0.9988496308152646,0.0004780235896296,0.0011503691847354,1.6765921864341902,0.9586050250413868,0.4163168727002028,0.7645577809938318,5473737.046713026,21630.031493959777,2023.6654758867776,0.0935581382048329,3018.566864238439,0.002954010535549,0.9986680479016736,0.0006291766676043,0.0013319520983262,1.5629413766709646,0.8733348839301642,0.3792845209444872,0.7943852717638287,5608243.109331283,-2383.9522543266357,0.9007264983888086,34.64494831528509,1.01741809490402,0.0107305428995174,1.1295527518194073,-1.2871616829697814,0.9995737669198835,0.0004011017168710001,1.1571155666740935,-0.0001815829135909386,0.9998182079574455,0.00015115307797470006,1.3162042207490594,0.00018158291359080003,1.15784751090557,-0.11365080976322561,0.9322132056419321,-0.08527014111122255,0.9110476798215698,-0.037032351755715565,0.9110476798203319,0.02982749076999691,1.0390127358722134,134506.06261825655,1.0245729857810812
target,target,17,27483.04030191609,3096.217320361163,0.1126591995044048,4587.95879903318,0.0022253773798481,0.9989957929972684,0.0002940824146023,0.0010042070027317,1.2481474922957445,0.533608538642657,0.231743243828964,0.8939250518033544,13503919.85937982,25010.097314695475,2255.039599999004,0.0901651669573466,3525.007071361835,0.0026097587171667,0.9988235092096508,0.0004417534085875,0.001176490790349,1.4714836449634083,0.796949805530696,0.3461109028958509,0.8205106265963592,7929510.613636236,-2472.9429872206165,0.9100193079057485,-841.1777203621587,0.7283208401327466,-0.0224940325470582,0.8003355904638835,-1062.951727671345,0.768317072094165,0.00038438133731859975,1.1727263607631846,-0.00017228378761757757,0.9998275430288845,0.0001476709939852,1.502141526152661,0.0001722837876173,1.1715620245398428,0.22333615266766382,1.178934103577533,0.26334126688803905,1.4935102192262668,0.1143676590668869,1.4935102192226213,-0.07341442520699515,0.9178740711429768,-5574409.245743585,0.5872006570098532
target,target,18,32541.092754400557,2853.8088030212903,0.0876986161638769,4519.512785513517,0.002024373903326,0.999087402264172,0.0003086340541107,0.000912597735828,1.3322410633872783,0.6468891036952897,0.2809403681382048,0.8643760300647785,13740154.595872736,29838.16699682992,2928.966713509885,0.0981617508146886,4346.206712756014,0.0024155049075639,0.9989105244544356,0.0004707390058518,0.0010894755455643,1.361389704628682,0.685046873529794,0.2975120770190643,0.854788880731882,12070846.431843229,-2702.925757570636,0.9169380764816167,75.15791048859455,1.026336000649036,0.010463134650811695,1.1193078649056512,-173.306072757503,0.9616538151384358,0.00039113100423790025,1.1932108502298266,-0.00017687780973640876,0.9998229606235297,0.00016210495174110004,1.5252335186502886,0.00017687780973630002,1.1938179348889144,0.029148641241403705,1.0218794045923416,0.03815776983450425,1.0589865706741277,0.016571708880859515,1.0589865706719952,-0.009587149332896505,0.9889085895485014,-1669308.164029507,0.8785087786034858
target,target,19,37266.83237576191,3302.744307016727,0.0886242295485464,5335.347762341914,0.0018944971957921,0.9991458581167596,0.0002692810372486,0.0008541418832404,1.2668519731857786,0.5612739519235524,0.2437581801564298,0.8870906890003379,20330731.78946562,36381.04945832025,3975.4461711095455,0.1092724434918787,5860.464037870403,0.0020141735689024,0.9990910614063436,0.000392610031367,0.0009089385936562,1.2149359081327875,0.484952273889814,0.2106120965367806,0.9063280364686924,23124814.520098697,-885.7829174416547,0.9762313333070465,672.7018640928186,1.203679668045647,0.0206482139433323,1.2329861037696093,525.1162755284895,1.0984221270888614,0.00011967637311030024,1.0631705194987593,-5.4796710415971894e-05,0.9999451564444063,0.00012332899411839998,1.4579936037105694,5.479671041580005e-05,1.0641541065095192,-0.05191606505299107,0.9590196280600994,-0.07632167803373846,0.8640206306153367,-0.033146083619649214,0.8640206306133316,0.019237347468354482,1.0216858859030653,2794082.7306330763,1.1374314884268373
