model_tag,condition,condition_family,layer,n_points,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,centroid_to_global_l2,centroid_to_global_cosdist,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace,centroid_to_question_only_l2,centroid_to_question_only_cosdist
base,target,target,0,10,33.10863497389326,47.6450022176564,1.4390506360417419,65.50036864607243,0.7707816136393445,0.5534406448713828,0.3511671860666215,0.4465593551286172,0.0,6.072919944699606e-14,3.6665594210805623,1.4604499442481123,0.6342653518828668,0.44082950208445343,2758.6194915366705,0.0,6.072919944699606e-14
base,target,target,1,10,778.773576280881,513.5496923187504,0.6594338944719502,692.0903991379885,0.3550582204876474,0.8196701806175108,0.18139243404721955,0.18032981938248915,19.854556308970594,0.0003099901812134709,1.7983519286422929,0.9297490407499739,0.40378487795255524,0.7306232672651184,308317.6982010871,89.75716501709118,0.006532300264778912
base,target,target,2,10,777.6723753220481,487.721638262075,0.6271556682981057,661.3905168917938,0.33600592263880075,0.8317778462993737,0.16064279670573448,0.16822215370062632,22.67058517865593,0.0003837528953778424,1.9963731969466676,1.0268045084256059,0.44593553200262165,0.6861484000106941,280164.3452544066,98.37231168633654,0.008005876703905845
base,target,target,3,10,784.4949481644143,505.6392729654543,0.6445411460565351,696.344267456173,0.3533466733445984,0.8235716020950814,0.1484558148927053,0.1764283979049186,35.623180916525875,0.0010314848962251766,2.1378937257737864,1.111122233086254,0.48255425454937884,0.6600622114957436,302165.28246480273,129.59331085345949,0.013737866760045292
base,target,target,4,10,604.8531331913023,513.5603288575185,0.8490661628020191,708.8467042937639,0.49071408251449156,0.7462019843374879,0.1749438702126113,0.25379801566251214,36.29195553365325,0.0017951517450862653,2.3185893632251835,1.1807434860374626,0.5127903805292793,0.6273325241994336,311196.55107886856,135.0878372260322,0.024855096204764227
base,target,target,5,10,959.7190267684032,469.2013524848709,0.4888944987000834,670.2247406072534,0.22533264623733446,0.892778613629417,0.06860241770283212,0.10722138637058298,57.13557208666422,0.0012467710694840095,3.5111629806566067,1.466889619319298,0.6370620672315328,0.45132793883105166,266971.1412503939,242.51456672016272,0.01631947295212588
base,target,target,6,10,1090.1980670135965,516.0125939728073,0.47332004117961013,733.8331336689282,0.19561447430037834,0.9071214919283918,0.046819182977613866,0.09287850807160825,48.3657378710729,0.0009426580359537251,3.5854809397112604,1.4726956250323027,0.6395835834745894,0.43732550655698116,321659.26076327794,186.77010984186106,0.013556381596236178
base,target,target,7,10,1191.503160172568,700.5656688321776,0.5879679485958834,989.0952394119978,0.22796596866374227,0.8879977101756211,0.04498525346505228,0.11200228982437888,53.58593604299895,0.0009735567156089475,2.8926239660488644,1.3340607873835961,0.579375238484203,0.529584457841842,601466.4360918063,211.87538513054022,0.013066629165337962
base,target,target,8,10,2120.691562687688,884.3791079042464,0.4170239196799632,1222.453911274766,0.08542751816166648,0.9592914160216617,0.012210482605823508,0.04070858397833832,60.29724112217713,0.00035746217599808006,1.9841885102043777,1.0570683565412367,0.4590789542403982,0.6917808436383381,955164.6346477593,206.49784491496283,0.004525288568868691
base,target,target,9,10,3301.521928747175,1008.6844502275706,0.30552105119905554,1379.4965943474365,0.03834692194761024,0.9821536179575963,0.005109366263993483,0.01784638204240374,68.5235361193983,0.00017669203682901813,1.7678510457860859,0.9576739282522776,0.41591250250257483,0.7409398624657971,1204898.5376179272,296.53765174006884,0.001955591730811057
