condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
all,46,50,0.8949432581604169,35475.78781525266,8852.347787161818,0.00787997824486577,194770.63621775375,167456.04407348574,0.8579307713561458
all,47,50,0.7895742672285291,35588.80451501027,12737.682990144664,0.007069354256032312,215789.48642158965,191595.42403116298,0.8884144760063977
all,48,50,0.9515769231188772,78.32113655366602,20.187229422931107,0.12823991781349126,145.67536406616958,151.23843300836185,1.0449653038602913
target,0,10,0.9999061243924283,8.606240060749366,3.0260165899570364,0.011692187141725974,59.82423624170758,59.59164820557362,0.9961123903049994
target,1,10,0.9961584031267637,113.34518285707422,31.173860486619027,0.009010093819348985,902.6113633476758,863.1016276283841,0.9340649906431604
target,2,10,0.9954284273011451,123.01477662832853,17.460540056534438,0.00842599691343796,901.6273399160569,879.4795007379971,0.9577000729084194
target,3,10,0.9896225906638191,161.5616242791728,38.19741068115325,0.013489357803414304,929.1563523059862,818.8237043123622,0.8765531021597631
target,4,10,0.9926086606938451,166.4127316986445,27.41942677352196,0.015945133906614027,799.4936838917921,692.3338386024128,0.8673282422732823
target,5,10,0.9968252926230633,135.21672872191317,23.68817567212699,0.006513303083131772,1074.3467027859535,1010.3253777368709,0.9402795161462277
target,6,10,0.9911503892021444,180.44056919683123,71.74420371138243,0.007085160568875792,1204.7372435789769,1109.025370171495,0.9282038808863813
target,7,10,0.982693993875952,223.37372871097924,88.19396371331555,0.008254367574782573,1339.75992037128,1187.2920229708739,0.892832884041673
target,8,10,0.9838023382484495,306.85543667772873,175.97566966877247,0.003472795542283147,2210.1952778611544,1964.0517702014888,0.900439500565659
target,9,10,0.9897412302082698,600.901255180828,229.6216843285048,0.001954083271777851,3363.1162772784664,2794.513176670932,0.8365396117619343
target,10,10,0.9574080358441476,647.2306140160923,429.9924099996232,0.002207929392125052,3667.3170178588725,3064.2234990685884,0.8486683956733339
target,11,10,0.9709478144150859,941.8923403560151,460.27253743995567,0.0007929477055087619,7004.273702994858,6105.404339112098,0.8765465265847272
target,12,10,0.9767779031027721,1223.962457961008,511.92365647317143,0.0010227175622882334,7544.771996539831,6362.4057977890525,0.8479642340321758
target,13,10,0.9744606437979448,1568.70178812634,360.3749011730913,0.0011610593431346516,8620.459322262945,7096.486155362984,0.8208848460808131
target,14,10,0.9473529107059877,2014.9436983118117,689.4358547481504,0.00046246030243127787,14975.88612329646,13007.669141095445,0.8707402978259644
target,15,10,0.848418448314475,2247.9496535439175,1123.6456998400606,0.00035358065684416574,19692.189588292058,17512.76164603174,0.8917310439657881
target,16,10,0.7133263066298682,2492.910770821824,1043.0179995295941,0.0003184982595122454,24041.629767635808,21658.22363520086,0.9010407236113951
target,17,10,0.7383633559162119,2736.082420398349,1482.2729065169547,0.00032979922276421547,27510.868824301877,25039.296415925804,0.9140507482517541
target,18,10,0.5162358889689639,3079.0444180333743,2101.2875114903563,0.00036203486856725144,32570.70644501719,29869.741440560134,0.9196416414681485
target,19,10,0.5880679725354396,2496.617796766884,1988.6737844499953,0.00033915412283840317,37298.29988962356,36412.935514843935,0.9783546699056656
target,20,10,0.582700206565679,3094.7989340832687,2141.442636532847,0.0003691149120693349,40243.52742452918,39706.01375501686,0.9905237356239522
target,21,10,0.4691919834486,3875.9840973017913,1845.2926709961098,0.00037588182794293654,43369.4013824836,44305.574959905,1.0271097620201615
target,22,10,0.6906597890913481,4491.105008052935,2191.5710412904896,0.00040850734184589844,48944.5324971169,51483.982874414716,1.0549591253435133
target,23,10,0.7786176367420242,4306.800544643617,2365.3194137315763,0.0004788093287099282,56980.899008856526,58959.34275955024,1.0387004878183321
target,24,10,0.9323153318412328,3538.773270650336,1380.1260016652423,0.0007035293745182303,63677.30800310909,62328.73455706838,0.9798460441939956
target,25,10,0.9411158650714564,4427.725939416866,1477.63599835872,0.0008009023447758335,67878.49272999092,65202.673610220096,0.9637435701286906
target,26,10,0.9741275789411842,3513.117468770991,617.984253104705,0.0009463316879176675,68484.18391772517,67525.31843755503,0.9869370725367924
target,27,10,0.9753334694239788,4422.505665466252,1489.0225351140925,0.0012646989302471322,70562.35872434107,68451.00646493843,0.9718509786704264
target,28,10,0.9390576419010855,6001.123699388927,2533.23264216317,0.0017099386775302316,71601.14093098612,67446.27280662567,0.9430963841715293
target,29,10,0.9213104883356653,7629.538502282652,3205.640928459666,0.002102188443644326,75715.46858374393,69845.01162833432,0.9236557031592636
target,30,10,0.914696979401725,7827.855614699448,3454.8184098276934,0.002574648216931963,74601.17185630827,68938.65355601374,0.9265374870234678
target,31,10,0.8733374620744616,9973.414358795217,4699.741222793445,0.003060521145401296,75605.65128018273,67434.82045102897,0.895159968386611
