condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
all,38.5,50.0,0.8107249104054636,24953.248220297857,8992.016138508978,0.005946188300485424,124958.43091120654,103923.57041698502,0.8409676182443538
control,38.5,10.0,0.9464954433804059,22554.174408097504,4885.791165180296,0.00612246333450916,123999.79236576633,105883.3469502337,0.8572656564092269
question_only,38.5,10.0,0.7633783459695417,33434.629508444916,11801.959225748382,0.0069691671085900025,128597.80534304123,98359.89771274698,0.7759594613623136
target,38.5,10.0,0.9214847555275048,21365.489456957166,6260.869383845421,0.0055174117753165166,125900.52601584759,109002.60494005826,0.8726478567440253
target_sentence_shuffle,38.5,10.0,0.9074251425340076,22289.585766698092,6934.254251812496,0.005499379697609056,124923.30154718707,106782.14916383877,0.8658088709012239
target_word_shuffle,38.5,10.0,0.9162563879888105,25122.361961291615,6976.760995731966,0.005622519586402386,121370.7292841905,99589.8533180474,0.8331562458049793
