condition,condition_family,layer_base,n_points_base,centroid_norm_base,abs_disp_l2_mean_base,rel_disp_l2_mean_base,pairwise_l2_mean_base,pairwise_cosine_distance_mean_base,cos_to_centroid_mean_base,cos_to_centroid_std_base,angular_disp_to_centroid_base,centroid_to_global_l2_base,centroid_to_global_cosdist_base,effective_rank_pr_base,spectral_entropy_base,spectral_entropy_norm_base,top1_pc_variance_share_base,cov_trace_base,centroid_to_question_only_l2_base,centroid_to_question_only_cosdist_base,layer_instruct,n_points_instruct,centroid_norm_instruct,abs_disp_l2_mean_instruct,rel_disp_l2_mean_instruct,pairwise_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,cos_to_centroid_mean_instruct,cos_to_centroid_std_instruct,angular_disp_to_centroid_instruct,centroid_to_global_l2_instruct,centroid_to_global_cosdist_instruct,effective_rank_pr_instruct,spectral_entropy_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,cov_trace_instruct,centroid_to_question_only_l2_instruct,centroid_to_question_only_cosdist_instruct,layer_instruct_minus_base,layer_instruct_over_base,n_points_instruct_minus_base,n_points_instruct_over_base,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base,abs_disp_l2_mean_instruct_minus_base,abs_disp_l2_mean_instruct_over_base,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_l2_mean_instruct_minus_base,pairwise_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,cos_to_centroid_mean_instruct_minus_base,cos_to_centroid_mean_instruct_over_base,cos_to_centroid_std_instruct_minus_base,cos_to_centroid_std_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,centroid_to_global_l2_instruct_minus_base,centroid_to_global_l2_instruct_over_base,centroid_to_global_cosdist_instruct_minus_base,centroid_to_global_cosdist_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_instruct_minus_base,spectral_entropy_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,cov_trace_instruct_minus_base,cov_trace_instruct_over_base,centroid_to_question_only_l2_instruct_minus_base,centroid_to_question_only_l2_instruct_over_base,centroid_to_question_only_cosdist_instruct_minus_base,centroid_to_question_only_cosdist_instruct_over_base
control,control,38.5,10.0,122916.71054694166,22212.848704879885,0.18226358811581483,32493.059891873258,0.019499551765050735,0.9911408252410511,0.00612823161547146,0.00885917475894891,2874.9795694435984,0.0002043579465046963,2.1631709860981783,1.1763592154942617,0.5108863160251961,0.6706866907624959,684580781.8152498,6308.885072143823,0.000551734376220852,38.5,10.0,104514.09176689097,21343.767310975716,0.20178516205855643,31482.214622997,0.02910228419877468,0.986744111068181,0.0100361270133407,0.013255888931819023,3414.1704278259003,0.0003426678388421873,2.5221778464615436,1.3121720098893714,0.5698690632028531,0.6101229392699635,661916364.6586473,9807.777075966987,0.0018504036058860764,0.0,0.999999999999974,0.0,0.9999999999999,-18402.61878005069,0.8502838328640209,-869.0813939041691,0.9608748339553025,0.019521573942741594,1.1071062747279505,-1010.8452688762591,0.9688904254557731,0.009602732433723945,1.4924591369039863,-0.00439671417287002,0.9955639864064764,0.003907895397869241,1.6376872875309738,0.0043967141728701135,1.4962893600143259,539.1908583823019,1.187545979148176,0.000138309892337491,1.676802116219691,0.3590068603633654,1.1659632376124636,0.13581279439510974,1.1154518046912487,0.05898274717765706,1.115451804690014,-0.06056375149253235,0.9096988917066658,-22664417.156602502,0.9668929982280469,3498.8920038231645,1.5545975182322038,0.0012986692296652245,3.353794293563448
question_only,question_only,38.5,10.0,127500.85859058368,24826.219943778782,0.19716132963208283,35453.92798506747,0.019481200227061932,0.9911246614000255,0.006523209779120029,0.008875338599974494,5045.766695173753,0.00033499046317381827,1.7910727654741965,0.9788883757237063,0.42512581997604265,0.7458288615324007,825350316.5025771,0.0,-3.0839528461809905e-17,38.5,10.0,97001.26391640327,19749.341585863287,0.20185140170712512,29679.108852914625,0.03011505830656094,0.9863035257647308,0.008774610546052535,0.013696474235269164,7394.725059571017,0.0011341727794842006,3.0799627999960717,1.507006856069199,0.6544847617812211,0.5451013926817297,549124337.5384232,0.0,6.1679056923619804e-18,0.0,0.999999999999974,0.0,0.9999999999999,-30499.594674180407,0.7607891036081784,-5076.878357915495,0.7955033682367858,0.004690072075042295,1.023787991705932,-5774.819132152847,0.8371176492888153,0.010633858079499008,1.5458523065319836,-0.004821135635294738,0.9951356919830048,0.002251400766932506,1.3451369558578077,0.00482113563529467,1.5432058258335426,2348.9583643972637,1.4655305142514867,0.0007991823163103824,3.3856867606109122,1.2888900345218752,1.7196190235067945,0.5281184803454926,1.5395083785252914,0.2293589418051784,1.539508378523243,-0.20072746885067094,0.730866584541953,-276225978.9641539,0.6653227442443328,0.0,0.0,3.700743415417189e-17,6.168095913531461e-06
target,target,38.5,10.0,124817.26342203241,22462.655706106496,0.18030135748795764,32684.15216131066,0.019063613876968113,0.9913399714639429,0.0058212801410887005,0.008660028536057025,2467.802721194132,0.00015855414998390395,2.142413475866717,1.1729687482738216,0.509413854820285,0.6704399865882453,708264078.8536206,5985.578771518855,0.0008037172409744812,38.5,10.0,107665.15937877526,20851.160040431932,0.1907325377850798,30828.615185479077,0.027199906400350842,0.9876331606159563,0.00878902537396752,0.01236683938404366,5718.292534100266,0.0002795858147373968,2.8304196086252476,1.4135407304556145,0.6138929391823652,0.5639172749681786,626926745.8882529,12661.231012112083,0.0021072216574256806,0.0,0.999999999999974,0.0,0.9999999999999,-17152.104043257146,0.8625822776993403,-1611.4956656745635,0.928258898379657,0.010431180297122145,1.0578541417624157,-1855.5369758315828,0.9432282359146509,0.00813629252338273,1.4267969638110365,-0.00370681084798663,0.9962608076384645,0.0029677452328788203,1.5098097255999743,0.0037068108479866354,1.428036793542292,3250.4898129061335,2.317159505899754,0.00012103166475349285,1.7633459168519638,0.6880061327585305,1.3211360180970086,0.24057198218179288,1.2050966682058846,0.1044790843620802,1.2050966682045468,-0.10652271162006677,0.8411152172426591,-81337332.9653678,0.8851595959842853,6675.652240593227,2.1152893471819203,0.0013035044164511995,2.621844533593553
target_sentence_shuffle,target_shuffle,38.5,10.0,123870.72661935251,22359.99360434042,0.18064660756406462,32482.390753172564,0.018674417388635865,0.9915165236684911,0.005777820920830793,0.008483476331508952,2557.39041429817,0.0001711361932321995,2.0835513280985665,1.1415900760081337,0.4957862706058463,0.6797927348561907,708376601.7337813,6655.728065820388,0.0008123863640842548,38.5,10.0,105477.67399208779,20047.783304773235,0.18640929035133358,29691.033296918853,0.027047701508387485,0.9877052488346525,0.008923503728843332,0.012294751165347593,3605.42359446519,0.00019061678442935012,2.889240164399781,1.4324636535970525,0.6221110602841711,0.55365629221891,586377785.9887248,10607.451931396108,0.0018736914554029606,0.0,0.999999999999974,0.0,0.9999999999999,-18393.052627264726,0.8515141298574481,-2312.210299567185,0.8965916385987539,0.0057626827872689634,1.0319003100248831,-2791.3574562537106,0.9140655169915078,0.00837328411975162,1.4483826158559956,-0.003811274833838585,0.9961561156633745,0.003145682808012539,1.5444410357418588,0.0038112748338386404,1.4492586156259684,1048.03318016702,1.4098057044038121,1.948059119715061e-05,1.113830918611636,0.8056888363012145,1.3866901791352044,0.29087357758891885,1.2547968694724283,0.12632478967832478,1.2547968694709966,-0.12613644263728074,0.8144486750586131,-121998815.74505651,0.8277768979855358,3951.72386557572,1.5937327707045716,0.0010613050913187059,2.306404361191654
target_word_shuffle,target_shuffle,38.5,10.0,120360.5658038513,21145.141456887333,0.17691839848157484,30750.153817491115,0.018493097762714995,0.9916016832239135,0.006097832173827356,0.008398316776086582,4033.9063602445435,0.0001244603514232661,2.1197394373503355,1.1431058040466857,0.49644454292905543,0.6765756325775423,622770009.0499706,8355.022958027806,0.0005246538522718626,38.5,10.0,98309.32912066783,17970.891210172864,0.1802002738132142,26686.767843782174,0.027965618374244574,0.9872951397259173,0.00926946506864031,0.01270486027408276,4931.042133907055,0.0002947393946283307,3.183891200484901,1.4713159305358732,0.6389843897680778,0.508521054754726,475368177.0219258,6436.418328327156,0.001924363623569773,0.0,0.999999999999974,0.0,0.9999999999999,-22051.23668318348,0.8167901875841973,-3174.2502467144695,0.8498827613337833,0.0032818753316393723,1.0185502206598518,-4063.3859737089406,0.8678580277085434,0.009472520611529579,1.5122192469622617,-0.004306543497996196,0.9956569824639765,0.0031716328948129535,1.5201246611715333,0.0043065434979961785,1.5127865036891524,897.1357736625118,1.2223987602945063,0.0001702790432050646,2.368138840118159,1.0641517631345656,1.502020080573322,0.32821012648918746,1.2871213892239985,0.14253984683902238,1.287121389222532,-0.1680545778228163,0.7516100643717654,-147401832.02804482,0.7633125714372392,-1918.6046297006505,0.7703651277394531,0.0013997097712979104,3.6678728490584733
