model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
base,38.5,10.0,10.0,4627.460055027519,0.0005067625999151856,4627.460055027499,0.6004751487366924,0.34944444444444445,5985.578771518855,6308.885072143823,-323.30630062496687,0.0008037172409744812,0.000551734376220852,0.6111111111111112,0.49444444444444446,3719.712729643888,10.0
instruct,38.5,10.0,10.0,5386.565291544505,0.0008001858880971232,5386.565291544504,0.6295608558232177,0.3433333333333333,12661.231012112083,9807.777075966987,2853.4539361450957,0.0021072216574256806,0.0018504036058860764,0.55,0.44166666666666665,3644.3591206810297,10.0
