model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
base,13,10,10,387.72374854045785,0.0002464296894727491,387.723748540453,0.21946520859409224,0.305,415.433791207912,659.0844704841809,-243.65067927626887,0.0007585033231792826,0.0006704811734811189,0.55,0.4,359.88151742613866,10
base,14,10,10,881.6686948305769,0.00012492677506603656,881.6686948305669,0.36150143587835326,0.325,393.1340421666531,879.4065614080439,-486.2725192413908,0.0003423635489153698,0.0002977719154603209,0.5,0.5,869.4869195194433,10
base,15,10,10,1132.5478490280561,9.673299534540547e-05,1132.5478490280548,0.3880076975771672,0.325,476.9103751646636,1033.5196862369583,-556.6093110722946,0.00026502138362705097,0.00024011261402945294,0.5,0.5,1118.6867619076995,10
base,16,10,10,1076.4500502014373,7.602464703804213e-05,1076.4500502014307,0.4863979631793401,0.325,529.9116172988528,1299.1863025543373,-769.2746852554845,0.00021451012999795793,0.00019162793317095694,0.6,0.5,1051.0011210866182,10
base,17,10,10,510.22165855777445,6.20063033200946e-05,510.22165855776257,0.166138075502297,0.27,606.6951422456866,750.7078282102539,-144.01268596456725,0.00023576118538604085,0.00020119177341304528,0.5,0.35,347.12284135442025,10
base,18,10,10,1261.0688590877594,0.00010011930181641482,1261.068859087769,0.32985458417790847,0.32,999.7728331781527,794.8039482168117,204.96888496134102,0.0002426585588917174,0.00020456201507845773,0.65,0.5,1172.218122971773,10
base,19,10,10,1312.090377356128,9.134506159236278e-05,1312.0903773560785,0.2975416597897742,0.355,1296.392387812658,747.3989041355784,548.9934836770796,0.00022396663006107875,0.00020174547336937465,0.65,0.45,1224.7083768665627,10
base,20,10,10,2158.568510276004,0.0001017598064368963,2158.5685102760035,0.39068127602974684,0.33,1331.8995509837687,1314.6494780671242,17.250072916644513,0.00022175943526603348,0.00021084800177939567,0.55,0.5,2120.4653835517847,10
base,21,10,10,2225.151715707855,9.273787104835396e-05,2225.151715707856,0.3752314504583933,0.365,1281.8705995297776,1454.23691016989,-172.3663106401125,0.00020287856707623675,0.0001919516622918005,0.65,0.5,2163.358048222967,10
base,22,10,10,1887.0770640961084,8.664079269493641e-05,1887.0770640960618,0.250970983035204,0.29,1601.7649586882787,1022.3906209449393,579.3743377433394,0.00019217051409459174,0.00018038444513712726,0.5,0.4,1767.2335050619884,10
base,23,10,10,1903.0756396995525,9.57898451126038e-05,1903.0756396995494,0.21235385881009738,0.285,3657.7186533870718,2076.9467541977224,1580.7718991893494,0.0002865586564201328,0.0002564403461345899,0.5,0.45,1736.8186245378824,10
base,24,10,10,3745.008994551454,0.00017807375986211849,3745.008994551492,0.3415468524070209,0.315,3787.0547725316655,1387.513674813628,2399.5410977180372,0.0003575393262899018,0.0002630318911928109,0.55,0.5,3640.079391382073,10
base,25,10,10,3109.981045369187,0.00016538966207235717,3109.9810453691753,0.27807249137120066,0.305,2123.8846286522407,2285.808015545752,-161.92338689351118,0.00034524667867796843,0.0002752055999933889,0.55,0.45,2947.3855812567053,10
base,26,10,10,1831.8896314971714,0.00019509764668668161,1831.889631497179,0.23073464042839156,0.31,2108.1143609658634,1874.0810354151897,234.03332555067368,0.0004321144951150435,0.00034849413576054644,0.55,0.4,1292.7697179031738,10
base,27,10,10,1665.0358730798218,0.00022745116246403185,1665.0358730798107,0.2788300009813722,0.33,2187.5933778188446,1952.0618837646405,235.53149405420413,0.00047544095049545376,0.0003706718007931986,0.55,0.45,1107.1676104931503,10
base,28,10,10,1775.3696807590638,0.00029490876230253704,1775.3696807590513,0.6700435242566217,0.4,2467.302726840644,2235.7316095998613,231.57111724078277,0.0005909806826390751,0.00045475246489679044,0.55,0.45,1168.4292665815854,10
base,29,10,10,2059.85400920937,0.00035326019711978685,2059.8540092093644,0.719532817866143,0.395,2783.090538561948,2438.9514819621413,344.13905659980674,0.0006787732239844635,0.0005185863628701659,0.65,0.5,1484.8635556267543,10
base,30,10,10,2235.814073105136,0.0004353407363043571,2235.81407310513,0.8727568111910579,0.4,3025.6778550965764,2733.1565151538093,292.5213399427671,0.000797247033415216,0.0005837328484639137,0.65,0.5,1680.2022514932844,10
base,31,10,10,2496.3351284461482,0.0004442958291575039,2496.3351284461314,0.4254331836798624,0.355,4566.766207414043,3482.175641057184,1084.5905663568587,0.0007692530491748562,0.0005432846905144562,0.55,0.5,1887.1035514134971,10
base,32,10,10,2605.5286243865894,0.0004888620370551156,2605.5286243865776,0.4855927298406082,0.35,4947.008445186341,3845.5828566054197,1101.4255885809216,0.000837340392892294,0.0005864631750109872,0.55,0.5,1954.9658049291552,10
base,33,10,10,2732.4027224697197,0.0005244671492523612,2732.4027224696947,0.507798859248404,0.35,5272.642143459904,4103.749223327308,1168.8929201325964,0.0008765356675128899,0.000595823177343302,0.6,0.5,2065.153936813188,10
base,34,10,10,2805.187988787585,0.0005814853118034646,2805.1879887875803,0.9756343722331904,0.38,5430.57467970374,4633.488881479133,797.0857982246071,0.0009669181451131825,0.0006501727757103337,0.65,0.5,2081.0960144239043,10
base,35,10,10,2929.4276279328014,0.0005085680529373082,2929.427627932797,1.1725190079769587,0.395,5181.899635456992,5082.495376656752,99.4042588002394,0.0008609282321968559,0.0005870506575228474,0.5,0.5,2152.578724345624,10
base,36,10,10,3311.408441384493,0.0006103068207251594,3311.408441384501,0.846271679296339,0.385,5891.122104489834,6115.452943151473,-224.33083866163906,0.0009647503473877439,0.0006735112248260622,0.6,0.5,2422.4126084779823,10
base,37,10,10,3725.1391300302016,0.0005758522125667298,3725.1391300301766,0.4982008920827058,0.34,6087.390510317927,6761.139048350248,-673.7485380323214,0.0008874550140914872,0.0006087349480243809,0.6,0.5,2831.694345180449,10
base,38,10,10,4230.1613790015235,0.0005478363458433222,4230.1613790015035,0.39002715555709355,0.335,6258.79892267341,7630.369167021982,-1371.5702443485725,0.00081021123997016,0.0005527151873667702,0.6,0.45,3355.1340818576136,10
base,39,10,10,4640.997914782799,0.0005325858236105985,4640.997914782725,0.37812526837923766,0.33,6116.983804061967,7743.924076874408,-1626.9402728124405,0.0007744914074810927,0.000528263939228335,0.6,0.5,3746.3067904098075,10
base,40,10,10,4881.485936767008,0.0005094894728975286,4881.485936767,0.3965385342710678,0.325,6052.914681964635,7511.196480985716,-1458.2817990210815,0.0007349602521690146,0.0004964094501812566,0.65,0.5,3897.9094104342244,10
base,41,10,10,5605.11439135217,0.0004546962624593087,5605.114391352152,0.44666501584998114,0.325,5753.92915407876,7209.489739882181,-1455.5605858034214,0.0006902868898248649,0.0004638086056922841,0.65,0.45,4703.834195328665,10
base,42,10,10,6399.375494874881,0.00044297465853126994,6399.375494874796,0.39691926138306005,0.32,6034.984849992384,7962.426302684792,-1927.4414526924083,0.0006538976238715799,0.0004321568640148765,0.65,0.5,5509.058663291029,10
base,43,10,10,6628.38062955825,0.0004718598270229135,6628.380629558247,0.4342092111677139,0.315,6219.6116501239485,7584.677697350201,-1365.0660472262525,0.0006981412450318691,0.00045787896939497585,0.65,0.5,5694.335706188042,10
base,44,10,10,6841.801691273079,0.00045495735097589307,6841.801691273111,0.39974212244898855,0.315,6619.771923304824,7773.6590292428355,-1153.8871059380117,0.0006864253159183376,0.00043272879162559175,0.65,0.5,5808.536661489472,10
base,45,10,10,6896.07790251406,0.0005014918328410944,6896.077902514051,0.503548987274477,0.345,7266.827522975822,7585.896920533608,-319.06939755778603,0.0007318851964285278,0.0004602338117078997,0.65,0.5,5649.364141831966,10
base,46,10,10,7010.631408200055,0.0005333564588178019,7010.631408200017,0.7443005183547221,0.355,8219.30072712934,7814.461776048376,404.83895108096476,0.0008877349774047971,0.0006370080625133223,0.6,0.5,5651.641242132171,10
base,47,10,10,7319.0105056288485,0.0005033006156716091,7319.010505628787,0.9342690670249959,0.37,8794.213069908958,7986.589622183381,807.6234477255766,0.0008384483076558924,0.0006412415928337412,0.6,0.5,5863.501003549903,10
base,48,10,10,19.123698069265046,0.012960210174105757,19.12369806926405,1.420352222313874,0.43,23.47275864395722,21.6963494680491,1.776409175908121,0.01949622263707862,0.01679858368040177,0.7,0.5,14.991892540994655,10
instruct,0,10,10,0.0,6.061817714453355e-14,0.0,0.0,0.25,0.0,0.0,0.0,6.061817714453355e-14,6.061817714453355e-14,0.0,0.25,0.0,10
instruct,1,10,10,12.39999690342508,8.798308382540476e-05,12.39999690342421,0.04249482366846733,0.28,86.88675185852824,85.03005835315032,1.856693505377919,0.006511669020549671,0.006299741077985588,0.5,0.4,9.120087073055185,10
instruct,2,10,10,13.864879827523627,0.00015470669335737597,13.864879827522628,0.12837918969251555,0.315,92.3515251178473,92.01866637526331,0.33285874258399417,0.007276103489212593,0.00724547818407717,0.5,0.4,8.480225738634292,10
instruct,3,10,10,15.925896479627855,0.00021964003011631927,15.925896479626658,0.09371609831090824,0.305,120.27343855353894,117.52093433068382,2.752504222855123,0.014815848921807317,0.014257417156630092,0.5,0.45,11.8053800772804,10
instruct,4,10,10,14.220645949787826,0.00038458536398788823,14.220645949786835,0.24334779657404199,0.335,121.2181554161704,120.38470078747233,0.8334546286980782,0.027373801031360778,0.02699119075104306,0.5,0.5,8.690341762117969,10
instruct,5,10,10,33.77595600124212,0.0003740555262798928,33.775956001241866,0.30655322831327997,0.31,189.79522934432154,206.5070843986618,-16.711855054340248,0.0136264549131625,0.014687096819946843,0.6,0.4,30.053077583681148,10
instruct,6,10,10,45.59455876863926,0.0007772318572060177,45.59455876863825,0.8396693566426812,0.38,171.80766479531997,182.48803054484097,-10.680365749521002,0.012849351566620815,0.01365623596325305,0.6,0.5,38.29937479378638,10
